,train,val,test
0,C3L-00001-21,C3L-00083-21,C3L-00446-21
1,C3L-00009-21,C3L-00095-21,C3L-00446-22
2,C3L-00080-21,C3L-00095-22,C3L-00446-23
3,C3L-00093-21,C3L-00095-23,C3L-00446-24
4,C3L-00094-21,C3L-00144-21,C3L-00510-21
5,C3L-00140-21,C3L-00368-21,C3L-00510-22
6,C3L-00140-22,C3L-00368-22,C3L-00510-23
7,C3L-00263-21,C3L-02549-21,C3L-02348-21
8,C3L-00263-22,C3L-02549-22,C3L-02348-22
9,C3L-00263-23,C3L-02961-21,C3L-02834-21
10,C3L-00263-24,C3L-02967-21,C3L-02834-22
11,C3L-00263-25,C3N-00175-21,C3L-02834-23
12,C3L-00279-21,C3N-00175-22,C3L-03726-21
13,C3L-00279-22,C3N-00175-23,C3L-03726-22
14,C3L-00279-23,C3N-00175-24,C3L-03726-23
15,C3L-00412-21,C3N-01016-21,C3N-00550-21
16,C3L-00422-21,C3N-01016-22,C3N-00550-22
17,C3L-00422-22,C3N-01016-23,C3N-00550-23
18,C3L-00422-23,C3N-01016-24,C3N-00550-24
19,C3L-00444-21,C3N-01414-21,C3N-00574-21
20,C3L-00444-22,C3N-01414-22,C3N-00574-22
21,C3L-00444-23,C3N-01414-23,C3N-00574-23
22,C3L-00604-21,C3N-01414-24,C3N-00574-24
23,C3L-00604-22,C3N-02000-21,C3N-00579-21
24,C3L-00604-23,C3N-02000-23,C3N-00579-22
25,C3L-00893-21,C3N-02002-22,C3N-00579-23
26,C3L-00893-22,C3N-02002-23,C3N-00579-24
27,C3L-00893-23,C3N-02142-21,C3N-01072-21
28,C3L-00913-21,C3N-02142-22,C3N-01072-22
29,C3L-00913-22,C3N-02142-24,C3N-01072-23
30,C3L-00913-23,C3N-02158-21,C3N-01072-24
31,C3L-00973-21,C3N-02158-22,C3N-01415-21
32,C3L-00973-22,C3N-02158-23,C3N-01415-22
33,C3L-00973-23,C3N-02158-24,C3N-01415-23
34,C3L-00973-24,C3N-02421-21,C3N-01415-24
35,C3L-00973-25,C3N-02421-22,C3N-01416-21
36,C3L-01330-21,C3N-02926-21,C3N-01416-22
37,C3L-01330-22,C3N-02926-22,C3N-01416-23
38,C3L-01330-23,C3L-02130-21,C3N-01416-24
39,C3L-01632-21,C3L-02130-22,C3N-02067-21
40,C3L-01632-22,C3L-02130-23,C3N-02067-22
41,C3L-01632-23,C3L-02130-24,C3N-02230-21
42,C3L-01682-21,C3L-04749-21,C3N-02230-22
43,C3L-01682-23,C3L-04749-22,C3N-02230-23
44,C3L-01683-26,C3L-04749-23,C3N-02230-24
45,C3L-01683-27,C3L-04749-24,C3N-02529-21
