,train,val,test
0,10021,10015,10120
1,10024,10122,10126
2,10037,10379,10184
3,10046,10392,10368
4,10110,10404,10383
5,10111,10412,10402
6,10121,10494,10460
7,10125,10497,10498
8,10127,10672,10509
9,10130,10876,10653
10,10131,10889,10669
11,10132,10937,10678
12,10133,10994,10837
13,10134,11009,10859
14,10135,11044,10872
15,10136,11251,10874
16,10160,11270,10879
17,10161,11273,10886
18,10162,11297,10995
19,10166,11299,11004
20,10168,11304,11007
21,10183,11305,11112
22,10352,11342,11186
23,10367,11358,11236
24,10372,11366,11239
25,10373,11368,11261
26,10374,11413,11295
27,10378,11430,11321
28,10380,11432,11402
29,10381,11434,11426
30,10382,11460,11445
31,10384,9407,11461
32,10391,9481,11787
33,10393,9486,9406
34,10400,9496,9487
35,10401,9544,9527
36,10403,9550,9665
37,10411,9777,9683
38,10417,9778,9684
39,10418,9967,9738
40,10419,9974,9741
41,10420,9975,9988
42,10443,9990,NLSI0000068
43,10461,NLSI0000005,NLSI0000074
44,10484,NLSI0000024,NLSI0000104
45,10485,NLSI0000046,NLSI0000132
46,10486,NLSI0000086,NLSI0000173
47,10489,NLSI0000117,NLSI0000181
48,10490,NLSI0000121,NLSI0000183
49,10491,NLSI0000182,NLSI0000199
50,10492,NLSI0000198,NLSI0000226
51,10493,NLSI0000256,NLSI0000248
52,10495,NLSI0000257,NLSI0000265
53,10499,NLSI0000292,NLSI0000524
54,10500,NLSI0000294,NLSI0000525
55,10501,10145,10029
56,10503,10150,10112
57,10504,10387,10119
58,10508,10414,10511
59,10510,10496,10643
60,10513,10640,10899
61,10514,10983,11132
62,10521,10985,11225
63,10526,11129,11228
64,10530,11243,11316
65,10542,11256,11396
66,10618,11258,11466
67,10619,11283,11468
68,10636,11288,11469
69,10654,11386,11470
70,10670,11418,11790
71,10673,11422,11794
72,10674,11423,12063
73,10675,11792,9393
74,10676,9712,9499
75,10840,9714,9679
76,10850,9744,9685
77,10851,9938,9686
78,10856,NLSI0000041,9720
79,10857,NLSI0000064,9978
80,10858,NLSI0000072,NLSI0000044
81,10860,NLSI0000110,NLSI0000048
82,10862,NLSI0000145,NLSI0000063
83,10863,NLSI0000149,NLSI0000129
84,10864,NLSI0000190,NLSI0000194
85,10873,NLSI0000234,NLSI0000206
86,10877,NLSI0000235,NLSI0000209
87,10878,NLSI0000278,NLSI0000286
88,10887,,
89,10901,,
90,10902,,
91,10903,,
92,10904,,
93,10905,,
94,10934,,
95,10938,,
96,10939,,
97,10940,,
98,10987,,
99,10988,,
100,10989,,
101,10990,,
102,10991,,
103,10992,,
104,10993,,
105,10996,,
106,11001,,
107,11002,,
108,11003,,
109,11005,,
110,11006,,
111,11008,,
112,11010,,
113,11011,,
114,11012,,
115,11020,,
116,11021,,
117,11022,,
118,11026,,
119,11029,,
120,11030,,
121,11031,,
122,11032,,
123,11033,,
124,11034,,
125,11036,,
126,11037,,
127,11038,,
128,11042,,
129,11043,,
130,11053,,
131,11104,,
132,11105,,
133,11106,,
134,11107,,
135,11113,,
136,11118,,
137,11119,,
138,11120,,
139,11124,,
140,11125,,
141,11126,,
142,11185,,
143,11187,,
144,11188,,
145,11189,,
146,11190,,
147,11191,,
148,11192,,
149,11193,,
150,11194,,
151,11215,,
152,11216,,
153,11217,,
154,11218,,
155,11219,,
156,11229,,
157,11233,,
158,11234,,
159,11235,,
160,11237,,
161,11238,,
162,11240,,
163,11247,,
164,11248,,
165,11249,,
166,11250,,
167,11252,,
168,11259,,
169,11260,,
170,11262,,
171,11263,,
172,11264,,
173,11265,,
174,11266,,
175,11269,,
176,11271,,
177,11272,,
178,11274,,
179,11275,,
180,11279,,
181,11280,,
182,11281,,
183,11285,,
184,11286,,
185,11287,,
186,11296,,
187,11301,,
188,11303,,
189,11306,,
190,11322,,
191,11333,,
192,11334,,
193,11335,,
194,11336,,
195,11337,,
196,11338,,
197,11343,,
198,11344,,
199,11345,,
200,11346,,
201,11347,,
202,11348,,
203,11349,,
204,11350,,
205,11351,,
206,11352,,
207,11353,,
208,11357,,
209,11359,,
210,11360,,
211,11361,,
212,11362,,
213,11363,,
214,11364,,
215,11365,,
216,11367,,
217,11369,,
218,11381,,
219,11382,,
220,11383,,
221,11398,,
222,11399,,
223,11400,,
224,11401,,
225,11403,,
226,11404,,
227,11405,,
228,11409,,
229,11427,,
230,11428,,
231,11429,,
232,11431,,
233,11433,,
234,11435,,
235,11436,,
236,11437,,
237,11446,,
238,11447,,
239,11454,,
240,11455,,
241,11456,,
242,11457,,
243,11462,,
244,11463,,
245,11464,,
246,11471,,
247,11472,,
248,11785,,
249,11786,,
250,11788,,
251,11789,,
252,9387,,
253,9388,,
254,9389,,
255,9390,,
256,9400,,
257,9401,,
258,9402,,
259,9408,,
260,9459,,
261,9460,,
262,9461,,
263,9462,,
264,9463,,
265,9464,,
266,9465,,
267,9466,,
268,9467,,
269,9468,,
270,9469,,
271,9473,,
272,9474,,
273,9475,,
274,9480,,
275,9482,,
276,9483,,
277,9484,,
278,9485,,
279,9488,,
280,9495,,
281,9497,,
282,9528,,
283,9529,,
284,9530,,
285,9531,,
286,9532,,
287,9542,,
288,9543,,
289,9546,,
290,9547,,
291,9548,,
292,9549,,
293,9551,,
294,9664,,
295,9681,,
296,9682,,
297,9700,,
298,9701,,
299,9702,,
300,9706,,
301,9707,,
302,9722,,
303,9723,,
304,9736,,
305,9737,,
306,9739,,
307,9740,,
308,9745,,
309,9746,,
310,9747,,
311,9755,,
312,9756,,
313,9757,,
314,9775,,
315,9776,,
316,9808,,
317,9953,,
318,9965,,
319,9966,,
320,9973,,
321,9976,,
322,9987,,
323,9989,,
324,9993,,
325,NLSI0000004,,
326,NLSI0000006,,
327,NLSI0000023,,
328,NLSI0000025,,
329,NLSI0000026,,
330,NLSI0000027,,
331,NLSI0000029,,
332,NLSI0000030,,
333,10016,,
334,10019,,
335,10030,,
336,10113,,
337,10114,,
338,10115,,
339,10116,,
340,10117,,
341,10118,,
342,10137,,
343,10138,,
344,10139,,
345,10144,,
346,10146,,
347,10152,,
348,10153,,
349,10177,,
350,10364,,
351,10365,,
352,10370,,
353,10375,,
354,10376,,
355,10377,,
356,10385,,
357,10386,,
358,10388,,
359,10389,,
360,10390,,
361,10408,,
362,10409,,
363,10410,,
364,10415,,
365,10416,,
366,10422,,
367,10424,,
368,10458,,
369,10481,,
370,10482,,
371,10483,,
372,10487,,
373,10488,,
374,10502,,
375,10515,,
376,10516,,
377,10517,,
378,10518,,
379,10519,,
380,10520,,
381,10617,,
382,10624,,
383,10639,,
384,10641,,
385,10700,,
386,10701,,
387,10702,,
388,10844,,
389,10845,,
390,10846,,
391,10847,,
392,10848,,
393,10852,,
394,10861,,
395,10888,,
396,10896,,
397,10897,,
398,10898,,
399,10900,,
400,10908,,
401,10915,,
402,10935,,
403,10936,,
404,10982,,
405,10984,,
406,10986,,
407,11013,,
408,11101,,
409,11117,,
410,11130,,
411,11131,,
412,11133,,
413,11134,,
414,11135,,
415,11136,,
416,11182,,
417,11183,,
418,11184,,
419,11223,,
420,11224,,
421,11226,,
422,11227,,
423,11241,,
424,11242,,
425,11257,,
426,11284,,
427,11289,,
428,11290,,
429,11291,,
430,11302,,
431,11307,,
432,11308,,
433,11309,,
434,11315,,
435,11317,,
436,11318,,
437,11319,,
438,11320,,
439,11331,,
440,11332,,
441,11339,,
442,11340,,
443,11341,,
444,11354,,
445,11355,,
446,11356,,
447,11379,,
448,11380,,
449,11384,,
450,11385,,
451,11387,,
452,11392,,
453,11393,,
454,11394,,
455,11395,,
456,11397,,
457,11406,,
458,11407,,
459,11408,,
460,11410,,
461,11411,,
462,11412,,
463,11417,,
464,11419,,
465,11420,,
466,11421,,
467,11424,,
468,11425,,
469,11439,,
470,11440,,
471,11441,,
472,11465,,
473,11467,,
474,11531,,
475,11779,,
476,11780,,
477,11781,,
478,11782,,
479,11791,,
480,11793,,
481,11795,,
482,11796,,
483,12062,,
484,9392,,
485,9398,,
486,9399,,
487,9470,,
488,9471,,
489,9472,,
490,9489,,
491,9490,,
492,9491,,
493,9498,,
494,9500,,
495,9533,,
496,9534,,
497,9535,,
498,9539,,
499,9540,,
500,9541,,
501,9659,,
502,9660,,
503,9661,,
504,9669,,
505,9670,,
506,9671,,
507,9674,,
508,9675,,
509,9676,,
510,9677,,
511,9678,,
512,9680,,
513,9687,,
514,9688,,
515,9697,,
516,9698,,
517,9699,,
518,9703,,
519,9704,,
520,9705,,
521,9708,,
522,9709,,
523,9710,,
524,9711,,
525,9713,,
526,9715,,
527,9716,,
