,train,val,test
0,C3L-00001-21,C3L-00144-21,C3L-00095-21
1,C3L-00009-21,C3L-00893-21,C3L-00095-22
2,C3L-00080-21,C3L-00893-22,C3L-00095-23
3,C3L-00083-21,C3L-00893-23,C3L-00913-21
4,C3L-00093-21,C3N-00217-21,C3L-00913-22
5,C3L-00094-21,C3N-00217-22,C3L-00913-23
6,C3L-00140-21,C3N-00217-23,C3L-03679-22
7,C3L-00140-22,C3N-00217-24,C3N-00574-21
8,C3L-00263-21,C3N-00550-21,C3N-00574-22
9,C3L-00263-22,C3N-00550-22,C3N-00574-23
10,C3L-00263-23,C3N-00550-23,C3N-00574-24
11,C3L-00263-24,C3N-00550-24,C3N-01019-21
12,C3L-00263-25,C3N-00578-21,C3N-01019-22
13,C3L-00279-21,C3N-00578-22,C3N-01019-23
14,C3L-00279-22,C3N-00578-23,C3N-01019-24
15,C3L-00279-23,C3N-00578-24,C3N-01410-21
16,C3L-00368-21,C3N-00579-21,C3N-01410-22
17,C3L-00368-22,C3N-00579-22,C3N-01410-23
18,C3L-00412-21,C3N-00579-23,C3N-01410-24
19,C3L-00422-21,C3N-00579-24,C3N-01413-21
20,C3L-00422-22,C3N-01021-21,C3N-01413-22
21,C3L-00422-23,C3N-01021-22,C3N-01413-23
22,C3L-00444-21,C3N-01021-23,C3N-01413-24
23,C3L-00444-22,C3N-01021-24,C3N-02090-21
24,C3L-00444-23,C3N-01405-21,C3N-02090-22
25,C3L-00446-21,C3N-01405-22,C3N-02090-23
26,C3L-00446-22,C3N-01405-23,C3N-02141-21
27,C3L-00446-23,C3N-01405-24,C3N-02141-22
28,C3L-00446-24,C3N-01417-21,C3N-02141-23
29,C3L-00510-21,C3N-01417-22,C3N-02141-24
30,C3L-00510-22,C3N-01417-23,C3N-02143-21
31,C3L-00510-23,C3N-01417-24,C3N-02143-22
32,C3L-00604-21,C3N-02002-22,C3N-02143-23
33,C3L-00604-22,C3N-02002-23,C3N-02143-24
34,C3L-00604-23,C3N-02067-21,C3N-02192-21
35,C3L-00973-21,C3N-02067-22,C3N-02192-22
