,train,val,test
0,C3L-00001-21,C3L-00083-21,C3L-00446-21
1,C3L-00009-21,C3L-00095-21,C3L-00446-22
2,C3L-00080-21,C3L-00095-22,C3L-00446-23
3,C3L-00093-21,C3L-00095-23,C3L-00446-24
4,C3L-00094-21,C3L-00144-21,C3L-00510-21
5,C3L-00140-21,C3L-00368-21,C3L-00510-22
6,C3L-00140-22,C3L-00368-22,C3L-00510-23
7,C3L-00263-21,C3L-01632-21,C3L-02345-21
8,C3L-00263-22,C3L-01632-22,C3L-02345-22
9,C3L-00263-23,C3L-01632-23,C3L-02345-23
10,C3L-00263-24,C3L-02601-21,C3L-02549-21
11,C3L-00263-25,C3L-02893-22,C3L-02549-22
12,C3L-00279-21,C3L-02957-21,C3L-02967-21
13,C3L-00279-22,C3L-02957-22,C3N-00175-21
14,C3L-00279-23,C3L-02957-23,C3N-00175-22
15,C3L-00412-21,C3N-01414-21,C3N-00175-23
16,C3L-00422-21,C3N-01414-22,C3N-00175-24
17,C3L-00422-22,C3N-01414-23,C3N-00180-21
18,C3L-00422-23,C3N-01414-24,C3N-00180-22
19,C3L-00444-21,C3N-01842-21,C3N-00180-23
20,C3L-00444-22,C3N-01842-22,C3N-00180-24
21,C3L-00444-23,C3N-01842-23,C3N-00578-21
22,C3L-00604-21,C3N-02141-21,C3N-00578-22
23,C3L-00604-22,C3N-02141-22,C3N-00578-23
24,C3L-00604-23,C3N-02141-23,C3N-00578-24
25,C3L-00893-21,C3N-02141-24,C3N-01016-21
26,C3L-00893-22,C3N-02152-21,C3N-01016-22
27,C3L-00893-23,C3N-02152-22,C3N-01016-23
28,C3L-00913-21,C3N-02152-23,C3N-01016-24
29,C3L-00913-22,C3N-02152-24,C3N-01021-21
30,C3L-00913-23,C3N-02230-21,C3N-01021-22
31,C3L-00973-21,C3N-02230-22,C3N-01021-23
32,C3L-00973-22,C3N-02230-23,C3N-01021-24
33,C3L-00973-23,C3N-02230-24,C3N-01071-21
34,C3L-00973-24,C3N-02242-21,C3N-01071-22
35,C3L-00973-25,C3N-02242-22,C3N-01071-23
36,C3L-01330-21,C3N-02242-23,C3N-01071-24
37,C3L-01330-22,C3N-02242-24,C3N-01413-21
38,C3L-01330-23,C3N-02380-21,C3N-01413-22
39,C3L-01682-21,C3N-02380-22,C3N-01413-23
40,C3L-01682-23,C3N-02529-21,C3N-01413-24
41,C3L-01683-26,C3N-02529-22,C3N-02002-22
42,C3L-01683-27,C3L-03962-21,C3N-02002-23
43,C3L-01862-21,C3L-03962-23,C3N-02067-21
44,C3L-01862-22,C3L-03962-24,C3N-02067-22
45,C3L-01862-23,C3L-03962-25,C3N-02153-21
