,train,val,test
0,C3L-00001-21,C3L-00144-21,C3L-00095-21
1,C3L-00009-21,C3L-00893-21,C3L-00095-22
2,C3L-00080-21,C3L-00893-22,C3L-00095-23
3,C3L-00083-21,C3L-00893-23,C3L-00913-21
4,C3L-00093-21,C3L-03717-21,C3L-00913-22
5,C3L-00094-21,C3N-00545-21,C3L-00913-23
6,C3L-00140-21,C3N-00545-22,C3L-01924-21
7,C3L-00140-22,C3N-00545-23,C3L-01924-22
8,C3L-00263-21,C3N-00545-24,C3L-01924-23
9,C3L-00263-22,C3N-00546-21,C3L-01924-24
10,C3L-00263-23,C3N-00546-22,C3L-01924-25
11,C3L-00263-24,C3N-00546-23,C3L-02219-21
12,C3L-00263-25,C3N-00546-24,C3L-02219-22
13,C3L-00279-21,C3N-00560-21,C3L-02345-21
14,C3L-00279-22,C3N-00560-22,C3L-02345-22
15,C3L-00279-23,C3N-00560-23,C3L-02345-23
16,C3L-00368-21,C3N-00560-24,C3L-02549-21
17,C3L-00368-22,C3N-01021-21,C3L-02549-22
18,C3L-00412-21,C3N-01021-22,C3L-03463-27
19,C3L-00422-21,C3N-01021-23,C3N-00169-21
20,C3L-00422-22,C3N-01021-24,C3N-00169-22
21,C3L-00422-23,C3N-01030-21,C3N-00169-23
22,C3L-00444-21,C3N-01030-22,C3N-00169-24
23,C3L-00444-22,C3N-01030-23,C3N-01016-21
24,C3L-00444-23,C3N-01030-24,C3N-01016-22
25,C3L-00446-21,C3N-01408-21,C3N-01016-23
26,C3L-00446-22,C3N-01408-22,C3N-01016-24
27,C3L-00446-23,C3N-01408-23,C3N-01071-21
28,C3L-00446-24,C3N-01408-24,C3N-01071-22
29,C3L-00510-21,C3N-02145-21,C3N-01071-23
30,C3L-00510-22,C3N-02145-22,C3N-01071-24
31,C3L-00510-23,C3N-02145-23,C3N-01413-21
32,C3L-00604-21,C3N-02145-24,C3N-01413-22
33,C3L-00604-22,C3N-02242-21,C3N-01413-23
34,C3L-00604-23,C3N-02242-22,C3N-01413-24
35,C3L-00973-21,C3N-02242-23,C3N-01414-21
