,train,val,test
0,11445,11273,10862
1,11446,11274,10863
2,11447,11275,10864
3,NLSI0000526,10499,NLSI0000111
4,9483,10500,NLSI0000112
5,9484,10501,11331
6,9485,11003,11332
7,9736,11004,11259
8,9737,11005,11260
9,9738,11006,11261
10,9669,9495,11262
11,9670,9496,11007
12,9671,9497,11008
13,11361,NLSI0000104,11009
14,11362,NLSI0000105,11258
15,11363,NLSI0000106,10484
16,9719,9703,10485
17,9720,9704,10486
18,9721,9705,11263
19,10618,11247,11264
20,11301,11248,11265
21,11333,11249,11266
22,11334,11250,NLSI0000128
23,11335,11013,NLSI0000129
24,11785,11429,NLSI0000130
25,11786,11430,11336
26,11787,11431,11337
27,11788,10422,11338
28,NLSI0000098,10877,10037
29,NLSI0000099,10878,9776
30,NLSI0000100,10879,9777
31,NLSI0000101,10982,9778
32,9664,10983,10119
33,9665,10984,10937
34,10029,10985,10938
35,10030,10986,10385
36,10135,10381,10386
37,10136,10382,10387
38,NLSI0000117,10383,NLSI0000041
39,NLSI0000118,10384,NLSI0000042
40,NLSI0000119,NLSI0000190,NLSI0000043
41,9993,NLSI0000191,NLSI0000044
42,9711,NLSI0000192,11381
43,9712,11104,11382
44,9713,9677,11383
45,9714,9678,NLSI0000074
46,NLSI0000524,9679,NLSI0000075
47,NLSI0000525,9680,NLSI0000076
48,NLSI0000151,NLSI0000159,10166
49,NLSI0000152,NLSI0000113,10168
50,NLSI0000153,NLSI0000114,10367
51,9681,NLSI0000115,10368
52,9682,NLSI0000116,10137
53,9683,9722,10138
54,9684,9723,10139
55,11465,NLSI0000240,10502
56,11466,NLSI0000241,NLSI0000266
57,11467,NLSI0000242,NLSI0000267
58,10424,11420,NLSI0000268
59,10515,11421,NLSI0000148
60,10153,11422,NLSI0000149
61,11132,10144,NLSI0000150
62,11133,10145,NLSI0000272
63,11134,10146,NLSI0000273
64,10130,10115,NLSI0000274
65,10131,10116,NLSI0000214
66,10372,10117,11236
67,10856,10118,11237
68,10857,11269,11238
69,10364,11270,11239
70,10365,11271,11240
71,10624,11272,11409
72,11779,11194,11188
73,10046,9724,11189
74,9987,9725,11190
75,9988,9726,11053
76,11339,11460,11112
77,11340,11461,11113
78,11341,10388,10888
79,NLSI0000293,10389,10896
80,NLSI0000294,10390,10897
81,NLSI0000295,9406,NLSI0000142
82,9542,9407,NLSI0000143
83,9543,9408,NLSI0000144
84,9544,9398,10846
85,10024,9399,
86,9989,9965,
87,9990,9966,
88,10994,9967,
89,10995,,
90,10996,,
91,11426,,
92,11427,,
93,11428,,
94,NLSI0000145,,
95,NLSI0000146,,
96,NLSI0000147,,
97,11042,,
98,11043,,
99,11044,,
100,10482,,
101,10483,,
102,10511,,
103,9755,,
104,9756,,
105,9757,,
106,10183,,
107,10184,,
108,10530,,
109,10619,,
110,9480,,
111,9481,,
112,9482,,
113,11413,,
114,NLSI0000045,,
115,NLSI0000046,,
116,NLSI0000047,,
117,NLSI0000032,,
118,NLSI0000033,,
119,NLSI0000034,,
120,NLSI0000035,,
121,NLSI0000036,,
122,NLSI0000037,,
123,10700,,
124,10844,,
125,10845,,
126,10861,,
127,10460,,
128,10461,,
129,10489,,
130,10490,,
131,NLSI0000226,,
132,NLSI0000227,,
133,NLSI0000228,,
134,11357,,
135,11358,,
136,11359,,
137,11360,,
138,9530,,
139,9531,,
140,9532,,
141,11471,,
142,11472,,
143,11402,,
144,11403,,
145,11404,,
146,11405,,
147,11185,,
148,11186,,
149,11187,,
150,9549,,
151,9550,,
152,9551,,
153,9462,,
154,9463,,
155,9973,,
156,9974,,
157,9975,,
158,9976,,
159,11223,,
160,11224,,
161,11225,,
162,11226,,
163,11227,,
164,11228,,
165,9939,,
166,9948,,
167,9949,,
168,NLSI0000262,,
169,NLSI0000263,,
170,NLSI0000264,,
171,NLSI0000265,,
172,11348,,
173,11349,,
174,11350,,
175,9498,,
176,9499,,
177,9500,,
178,10639,,
179,10640,,
180,10641,,
181,11251,,
182,11252,,
183,NLSI0000048,,
184,NLSI0000049,,
185,NLSI0000050,,
186,11364,,
187,11365,,
188,11366,,
189,9674,,
190,9675,,
191,9676,,
192,9473,,
193,9474,,
194,9475,,
195,11432,,
196,11433,,
197,11434,,
198,11435,,
199,11436,,
200,11437,,
201,10016,,
202,9961,,
203,9962,,
204,10904,,
205,10905,,
206,10939,,
207,10940,,
208,10021,,
209,NLSI0000107,,
210,NLSI0000108,,
211,NLSI0000109,,
212,NLSI0000110,,
213,10987,,
214,10988,,
215,10989,,
216,10990,,
217,9539,,
218,9540,,
219,9541,,
220,10443,,
221,10503,,
222,10504,,
223,10400,,
224,10401,,
225,10542,,
226,11406,,
227,11407,,
228,11408,,
229,10508,,
230,10509,,
231,10510,,
232,11454,,
233,11455,,
234,11456,,
235,11457,,
236,11182,,
237,11183,,
238,11184,,
239,10481,,
240,9697,,
241,9698,,
242,9699,,
243,11318,,
244,11319,,
245,11320,,
246,9706,,
247,9707,,
248,NLSI0000029,,
249,NLSI0000030,,
250,NLSI0000031,,
251,10019,,
252,10617,,
253,9971,,
254,NLSI0000023,,
255,NLSI0000024,,
256,11398,,
257,11399,,
258,11400,,
259,11401,,
260,10177,,
261,11315,,
262,11316,,
263,11317,,
264,9489,,
265,9490,,
266,9491,,
267,9659,,
268,9660,,
269,9661,,
270,11417,,
271,11418,,
272,11419,,
273,9467,,
274,9468,,
275,9469,,
276,NLSI0000223,,
277,NLSI0000224,,
278,NLSI0000225,,
279,NLSI0000025,,
280,NLSI0000026,,
281,NLSI0000027,,
282,NLSI0000173,,
283,NLSI0000174,,
284,NLSI0000213,,
285,NLSI0000004,,
286,NLSI0000005,,
287,NLSI0000006,,
288,10669,,
289,10670,,
290,10886,,
291,NLSI0000206,,
292,NLSI0000207,,
293,NLSI0000208,,
294,NLSI0000269,,
295,NLSI0000270,,
296,NLSI0000271,,
297,NLSI0000068,,
298,NLSI0000069,,
299,NLSI0000070,,
300,11215,,
301,11216,,
302,11217,,
303,11218,,
304,11219,,
305,10491,,
306,11295,,
307,11296,,
308,11297,,
309,11423,,
310,11424,,
311,11425,,
312,10908,,
313,NLSI0000246,,
314,NLSI0000247,,
315,NLSI0000248,,
316,9685,,
317,9686,,
318,9687,,
319,9688,,
320,11462,,
321,11463,,
