,train,val,test
0,11445,9719,11361
1,11446,9720,11362
2,11447,9721,11363
3,NLSI0000526,10618,10029
4,9483,9664,10030
5,9484,9665,10364
6,9485,10135,10365
7,9736,10136,10624
8,9737,NLSI0000145,11779
9,9738,NLSI0000146,10183
10,9669,NLSI0000147,10184
11,9670,11042,10530
12,9671,11043,10619
13,11301,11044,11259
14,11333,10482,11260
15,11334,10483,11261
16,11335,10511,11262
17,11785,10700,NLSI0000226
18,11786,9530,NLSI0000227
19,11787,9531,NLSI0000228
20,11788,9532,11357
21,NLSI0000098,9539,11358
22,NLSI0000099,9540,11359
23,NLSI0000100,9541,11360
24,NLSI0000101,11182,9549
25,NLSI0000117,11183,9550
26,NLSI0000118,11184,9551
27,NLSI0000119,NLSI0000029,11258
28,9993,NLSI0000030,11251
29,9711,NLSI0000031,11252
30,9712,10491,10481
31,9713,10678,9697
32,9714,10889,9698
33,NLSI0000524,10837,9699
34,NLSI0000525,10840,10422
35,NLSI0000151,10934,NLSI0000269
36,NLSI0000152,11345,NLSI0000270
37,NLSI0000153,11346,NLSI0000271
38,10862,11347,NLSI0000134
39,10863,11342,NLSI0000135
40,10864,11343,NLSI0000136
41,11273,11344,NLSI0000137
42,11274,10458,10125
43,11275,10487,10126
44,9681,10488,10127
45,9682,10643,NLSI0000085-001
46,9683,10852,NLSI0000086
47,9684,NLSI0000120,NLSI0000125
48,10499,NLSI0000121,NLSI0000126
49,10500,10419,NLSI0000127
50,10501,10420,10137
51,11465,10514,10138
52,11466,10915,10139
53,11467,10935,11795
54,10424,NLSI0000266,11796
55,10515,NLSI0000267,9470
56,10153,NLSI0000268,9471
57,11132,NLSI0000272,9472
58,11133,NLSI0000273,9986
59,11134,NLSI0000274,9938
60,10130,11053,9954
61,10131,11112,9955
62,10372,11113,11269
63,10856,10120,11270
64,10857,10121,11271
65,10046,10122,11272
66,9987,NLSI0000142,NLSI0000289
67,9988,NLSI0000143,NLSI0000290
68,11339,NLSI0000144,NLSI0000291
69,11340,10391,NLSI0000292
70,11341,10392,11790
71,NLSI0000293,10393,11791
72,NLSI0000294,10846,11792
73,NLSI0000295,10898,11793
74,9542,10899,11794
75,9543,10900,11026
76,9544,11101,NLSI0000062
77,10024,11117,NLSI0000063
78,9989,11135,NLSI0000064
79,9990,11136,11285
80,10994,,11286
81,10995,,11287
82,10996,,9527
83,11426,,9528
84,11427,,9529
85,11428,,10132
86,NLSI0000111,,10133
87,NLSI0000112,,10134
88,9755,,11020
89,9756,,11021
90,9757,,11022
91,11331,,
92,11332,,
93,9480,,
94,9481,,
95,9482,,
96,11413,,
97,NLSI0000045,,
98,NLSI0000046,,
99,NLSI0000047,,
100,NLSI0000032,,
101,NLSI0000033,,
102,NLSI0000034,,
103,NLSI0000035,,
104,NLSI0000036,,
105,NLSI0000037,,
106,10844,,
107,10845,,
108,10861,,
109,10460,,
110,10461,,
111,10489,,
112,10490,,
113,11007,,
114,11008,,
115,11009,,
116,11471,,
117,11472,,
118,11402,,
119,11403,,
120,11404,,
121,11405,,
122,11185,,
123,11186,,
124,11187,,
125,9462,,
126,9463,,
127,11003,,
128,11004,,
129,11005,,
130,11006,,
131,9973,,
132,9974,,
133,9975,,
134,9976,,
135,11223,,
136,11224,,
137,11225,,
138,11226,,
139,11227,,
140,11228,,
141,9939,,
142,9948,,
143,9949,,
144,NLSI0000262,,
145,NLSI0000263,,
146,NLSI0000264,,
147,NLSI0000265,,
148,11348,,
149,11349,,
150,11350,,
151,9498,,
152,9499,,
153,9500,,
154,10639,,
155,10640,,
156,10641,,
157,NLSI0000048,,
158,NLSI0000049,,
159,NLSI0000050,,
160,11364,,
161,11365,,
162,11366,,
163,9674,,
164,9675,,
165,9676,,
166,9473,,
167,9474,,
168,9475,,
169,11432,,
170,11433,,
171,11434,,
172,11435,,
173,11436,,
174,11437,,
175,9495,,
176,9496,,
177,9497,,
178,10016,,
179,9961,,
180,9962,,
181,10904,,
182,10905,,
183,10939,,
184,10940,,
185,10021,,
186,NLSI0000107,,
187,NLSI0000108,,
188,NLSI0000109,,
189,NLSI0000110,,
190,10987,,
191,10988,,
192,10989,,
193,10990,,
194,NLSI0000104,,
195,NLSI0000105,,
196,NLSI0000106,,
197,9703,,
198,9704,,
199,9705,,
200,11247,,
201,11248,,
202,11249,,
203,11250,,
204,11013,,
205,10484,,
206,10485,,
207,10486,,
208,10443,,
209,10503,,
210,10504,,
211,10400,,
212,10401,,
213,11429,,
214,11430,,
215,11431,,
216,11263,,
217,11264,,
218,11265,,
219,11266,,
220,10542,,
221,11406,,
222,11407,,
223,11408,,
224,10508,,
225,10509,,
226,10510,,
227,11454,,
228,11455,,
229,11456,,
230,11457,,
231,11318,,
232,11319,,
233,11320,,
234,9706,,
235,9707,,
236,10019,,
237,10617,,
238,9971,,
239,NLSI0000023,,
240,NLSI0000024,,
241,11398,,
242,11399,,
243,11400,,
244,11401,,
245,10177,,
246,11315,,
247,11316,,
248,11317,,
249,9489,,
250,9490,,
251,9491,,
252,9659,,
253,9660,,
254,9661,,
255,11417,,
256,11418,,
257,11419,,
258,9467,,
259,9468,,
260,9469,,
261,NLSI0000128,,
262,NLSI0000129,,
263,NLSI0000130,,
264,NLSI0000223,,
265,NLSI0000224,,
266,NLSI0000225,,
267,NLSI0000025,,
268,NLSI0000026,,
269,NLSI0000027,,
270,NLSI0000173,,
271,NLSI0000174,,
272,NLSI0000213,,
273,11336,,
274,11337,,
275,11338,,
276,NLSI0000004,,
277,NLSI0000005,,
278,NLSI0000006,,
279,10669,,
280,10670,,
281,10886,,
282,NLSI0000206,,
283,NLSI0000207,,
284,NLSI0000208,,
285,10877,,
286,10878,,
287,10879,,
288,NLSI0000068,,
289,NLSI0000069,,
290,NLSI0000070,,
291,10982,,
292,10983,,
293,10984,,
294,10985,,
295,10986,,
296,11215,,
297,11216,,
298,11217,,
299,11218,,
300,11219,,
301,11295,,
302,11296,,
303,11297,,
304,11423,,
305,11424,,
306,11425,,
307,10908,,
308,NLSI0000246,,
309,NLSI0000247,,
310,NLSI0000248,,
311,10037,,
312,9776,,
313,9777,,
314,9778,,
315,9685,,
316,9686,,
317,9687,,
318,9688,,
319,11462,,
320,11463,,
321,11464,,
322,10375,,
323,10376,,
324,10377,,
325,11036,,
326,11037,,
327,11038,,
328,11107,,
329,10381,,
330,10382,,
331,10383,,
332,10384,,
333,10411,,
334,10412,,
335,10513,,
336,11367,,
337,11368,,
338,11369,,
339,12062,,
340,12063,,
341,NLSI0000190,,
342,NLSI0000191,,
343,NLSI0000192,,
344,NLSI0000215,,
345,NLSI0000216,,
346,NLSI0000217,,
347,11029,,
348,11105,,
349,11106,,
350,11104,,
351,10991,,
352,10992,,
353,10993,,
354,11789,,
355,9677,,
356,9678,,
357,9679,,
358,9680,,
359,10150,,
360,10152,,
361,10370,,
362,11288,,
363,11290,,
364,11291,,
365,10015,,
366,10119,,
367,9739,,
368,9740,,
369,9741,,
370,10937,,
371,10938,,
372,NLSI0000159,,
373,9715,,
374,9716,,
375,9717,,
376,9718,,
377,10385,,
378,10386,,
379,10387,,
380,11283,,
381,11284,,
382,11289,,
383,NLSI0000154,,
384,NLSI0000155,,
385,NLSI0000156,,
386,NLSI0000160,,
387,NLSI0000161,,
388,NLSI0000162-002,,
389,NLSI0000113,,
390,NLSI0000114,,
391,NLSI0000115,,
392,NLSI0000116,,
393,NLSI0000041,,
394,NLSI0000042,,
395,NLSI0000043,,
396,NLSI0000044,,
397,9400,,
398,9401,,
399,9402,,
400,9722,,
401,9723,,
402,NLSI0000250,,
403,NLSI0000251-001,,
404,NLSI0000252,,
405,10112,,
406,10113,,
407,10114,,
408,11118,,
409,11119,,
410,11120,,
411,11381,,
412,11382,,
413,11383,,
414,10520,,
415,11321,,
416,11322,,
417,9742,,
418,9743,,
419,9744,,
420,NLSI0000074,,
421,NLSI0000075,,
422,NLSI0000076,,
423,9936,,
424,9980,,
425,9981,,
426,11129,,
427,11130,,
428,11131,,
429,11256,,
430,11257,,
431,10414,,
432,10415,,
433,10416,,
434,10402,,
435,10403,,
436,10404,,
437,9390,,
438,9708,,
439,9709,,
440,9710,,
441,11781,,
442,11782,,
443,10653,,
444,10654,,
445,10860,,
446,10876,,
447,NLSI0000071,,
448,NLSI0000072,,
449,NLSI0000073,,
450,9745,,
451,9746,,
452,9747,,
453,11303,,
454,11304,,
455,11305,,
456,11306,,
457,NLSI0000240,,
458,NLSI0000241,,
459,NLSI0000242,,
460,9546,,
461,9547,,
462,9548,,
463,9808,,
464,9953,,
465,10110,,
466,10111,,
467,11010,,
468,11011,,
469,11012,,
470,11420,,
471,11421,,
472,11422,,
473,10352,,
474,9486,,
475,9487,,
476,9488,,
477,10166,,
478,10168,,
479,10367,,
480,10368,,
481,10516,,
482,10517,,
483,10518,,
484,10519,,
485,9464,,
486,9465,,
487,9466,,
488,11191,,
489,11192,,
490,11193,,
491,9459,,
492,9460,,
493,9461,,
494,NLSI0000131,,
495,NLSI0000132,,
496,NLSI0000133,,
497,NLSI0000196,,
498,NLSI0000197,,
499,NLSI0000198,,
500,NLSI0000199,,
501,11001,,
502,11002,,
503,11439,,
504,11440,,
505,11441,,
506,10872,,
507,10873,,
508,10874,,
509,11124,,
510,11125,,
511,11126,,
512,10858,,
513,10859,,
514,9733,,
515,9734,,
516,9735,,
517,11392,,
518,11393,,
519,11394,,
520,9387,,
521,9388,,
522,9389,,
523,10144,,
524,10145,,
525,10146,,
526,10115,,
527,10116,,
528,10117,,
529,10118,,
530,11395,,
531,11396,,
532,11397,,
533,11379,,
534,11380,,
535,11384,,
536,11385,,
537,11386,,
538,11387,,
539,10502,,
540,11299,,
541,11351,,
542,11352,,
543,11353,,
544,11194,,
545,NLSI0000253,,
546,NLSI0000254,,
547,NLSI0000255,,
548,9724,,
549,9725,,
550,9726,,
551,NLSI0000209,,
552,NLSI0000210,,
553,NLSI0000211,,
554,11780,,
555,11460,,
556,11461,,
557,11241,,
558,11242,,
559,11243,,
560,11307,,
561,11308,,
562,11309,,
563,NLSI0000090,,
564,NLSI0000091,,
565,NLSI0000092,,
566,NLSI0000212,,
567,10160,,
568,10161,,
569,10162,,
570,10417,,
571,10418,,
572,11233,,
573,11234,,
574,11235,,
575,10901,,
576,10902,,
577,10903,,
578,NLSI0000286,,
579,NLSI0000287,,
580,NLSI0000288,,
581,NLSI0000077,,
582,NLSI0000078,,
583,NLSI0000079-001,,
584,10373,,
585,10374,,
586,10672,,
587,10673,,
588,10887,,
589,NLSI0000218,,
590,NLSI0000148,,
591,NLSI0000149,,
592,NLSI0000150,,
593,10388,,
594,10389,,
595,10390,,
596,NLSI0000259,,
597,NLSI0000260,,
598,NLSI0000261,,
599,10701,,
600,10702,,
601,10936,,
602,11531,,
603,NLSI0000214,,
604,11236,,
605,11237,,
606,11238,,
607,11239,,
608,11240,,
609,10848,,
610,NLSI0000193,,
611,NLSI0000194,,
612,NLSI0000195,,
