,train,val,test
0,TCGA-A6-2671-01A-01-BS1,TCGA-A6-2684-01A-01-BS1,TCGA-A6-2677-01A-01-BS1
1,TCGA-A6-2671-01A-01-TS1,TCGA-A6-2684-01A-01-TS1,TCGA-A6-2677-01A-01-TS1
2,TCGA-A6-2671-11A-01-TS1,TCGA-A6-2684-11A-01-TS1,TCGA-A6-2677-11A-01-TS1
3,TCGA-A6-2672-01A-01-BS1,TCGA-A6-5657-01A-01-BS1,TCGA-A6-5664-01A-01-BS1
4,TCGA-A6-2672-01A-01-TS1,TCGA-A6-5657-01A-01-TS1,TCGA-A6-5667-01A-01-BS1
5,TCGA-A6-2672-11A-01-TS1,TCGA-A6-5657-11A-01-TS1,TCGA-A6-5667-11A-01-TS1
6,TCGA-A6-2674-01A-01-BS1,TCGA-A6-6652-01A-01-BS1,TCGA-A6-6649-01A-01-TS1
7,TCGA-A6-2674-01A-02-BS2,TCGA-A6-6652-01A-01-TS1,TCGA-AA-3510-01A-01-BS1
8,TCGA-A6-2674-01B-03-BS3,TCGA-AA-3522-01A-01-BS1,TCGA-AA-3510-01A-01-TS1
9,TCGA-A6-2674-01B-04-BS4,TCGA-AA-3522-01A-01-TS1,TCGA-AA-3510-11A-01-TS1
10,TCGA-A6-2674-11A-01-TS1,TCGA-AA-3522-11A-01-TS1,TCGA-AA-3511-01A-01-BS1
11,TCGA-A6-2675-01A-01-BS1,TCGA-AA-3530-01A-01-BS1,TCGA-AA-3511-01A-02-BS2
12,TCGA-A6-2675-01A-02-BS2,TCGA-AA-3530-11A-01-TS1,TCGA-AA-3511-11A-01-TS1
13,TCGA-A6-2675-11A-01-TS1,TCGA-AA-3543-01A-01-BS1,TCGA-AA-3518-01A-01-BS1
14,TCGA-A6-2676-01A-01-BS1,TCGA-AA-3543-01A-01-TS1,TCGA-AA-3518-01A-02-BS2
15,TCGA-A6-2676-11A-01-TS1,TCGA-AA-3821-01A-01-TS1,TCGA-AA-3518-11A-01-TS1
16,TCGA-A6-2678-01A-01-BS1,TCGA-AA-3949-01A-01-BS1,TCGA-AA-3532-11A-01-TS1
17,TCGA-A6-2678-01A-01-TS1,TCGA-AA-3949-01A-01-TS1,TCGA-AA-3697-11A-01-TS1
18,TCGA-A6-2678-11A-01-TS1,TCGA-AA-A03J-11A-01-BS1,TCGA-AG-3731-11A-01-TS1
19,TCGA-A6-2679-01A-01-BS1,TCGA-AA-A03J-11A-01-TS1,TCGA-AZ-6603-11A-01-TS1
20,TCGA-A6-2679-01A-02-BS2,TCGA-AF-3400-11A-01-TS1,TCGA-CK-4952-01A-01-TS1
21,TCGA-A6-2679-11A-01-TS1,TCGA-AG-3742-11A-01-TS1,TCGA-G4-6311-11A-01-TS1
22,TCGA-A6-2680-01A-01-BS1,TCGA-AG-A02N-11A-01-BS1,TCGA-G4-6320-11A-01-TS1
23,TCGA-A6-2680-01A-01-TS1,TCGA-AG-A02N-11A-01-TS1,
24,TCGA-A6-2680-11A-01-TS1,TCGA-AZ-6599-11A-01-TS1,
25,TCGA-A6-2681-01A-01-BS1,TCGA-G4-6625-11A-01-TS1,
26,TCGA-A6-2681-11A-01-TS1,,
27,TCGA-A6-2682-01A-01-BS1,,
28,TCGA-A6-2682-01A-01-TS1,,
29,TCGA-A6-2682-11A-01-TS1,,
30,TCGA-A6-2683-01A-01-BS1,,
31,TCGA-A6-2683-01A-01-TS1,,
32,TCGA-A6-2683-11A-01-TS1,,
33,TCGA-A6-2685-01A-01-BS1,,
34,TCGA-A6-2685-01A-01-TS1,,
35,TCGA-A6-2685-11A-01-TS1,,
36,TCGA-A6-2686-01A-01-BS1,,
37,TCGA-A6-2686-01A-01-TS1,,
38,TCGA-A6-2686-11A-01-TS1,,
39,TCGA-A6-3807-01A-01-BS1,,
40,TCGA-A6-3807-01A-01-TS1,,
41,TCGA-A6-3807-11A-01-BS1,,
42,TCGA-A6-3807-11A-01-TS1,,
43,TCGA-A6-3808-01A-01-BS1,,
44,TCGA-A6-3808-01A-01-TS1,,
45,TCGA-A6-3808-11A-01-BS1,,
46,TCGA-A6-3808-11A-01-TS1,,
47,TCGA-A6-3809-01A-01-BS1,,
48,TCGA-A6-3809-01A-01-TS1,,
49,TCGA-A6-3809-11A-01-BS1,,
50,TCGA-A6-3809-11A-01-TS1,,
51,TCGA-A6-3810-01A-01-BS1,,
52,TCGA-A6-3810-01A-01-TS1,,
53,TCGA-A6-3810-01B-03-BS3,,
54,TCGA-A6-3810-11A-01-BS1,,
55,TCGA-A6-3810-11A-01-TS1,,
56,TCGA-A6-4105-01A-01-BS1,,
57,TCGA-A6-4105-01A-01-TS1,,
58,TCGA-A6-4105-01A-02-BS2,,
59,TCGA-A6-4107-01A-01-BS1,,
60,TCGA-A6-4107-01A-02-BS2,,
61,TCGA-A6-4107-11A-01-BS1,,
62,TCGA-A6-4107-11A-01-TS1,,
63,TCGA-A6-5656-01A-01-BS1,,
64,TCGA-A6-5659-01A-01-BS1,,
65,TCGA-A6-5659-01A-01-TS1,,
66,TCGA-A6-5659-01B-03-BS3,,
67,TCGA-A6-5659-11A-01-TS1,,
68,TCGA-A6-5660-01A-01-BS1,,
69,TCGA-A6-5660-01A-01-TS1,,
70,TCGA-A6-5660-11A-01-TS1,,
71,TCGA-A6-5661-01A-01-BS1,,
72,TCGA-A6-5661-01A-01-TS1,,
73,TCGA-A6-5661-11A-01-TS1,,
74,TCGA-A6-5662-01A-01-TS1,,
75,TCGA-A6-5662-11A-01-TS1,,
76,TCGA-A6-5665-01A-01-BS1,,
77,TCGA-A6-5665-11A-01-TS1,,
78,TCGA-A6-5666-01A-01-BS1,,
79,TCGA-A6-5666-01A-01-TS1,,
80,TCGA-A6-5666-11A-01-TS1,,
81,TCGA-A6-6141-01A-01-BS1,,
82,TCGA-A6-6141-01A-01-TS1,,
83,TCGA-A6-6142-01A-01-BS1,,
84,TCGA-A6-6648-01A-01-BS1,,
85,TCGA-A6-6648-01A-01-TS1,,
86,TCGA-A6-6650-01A-01-TS1,,
87,TCGA-A6-6653-01A-01-BS1,,
88,TCGA-A6-6780-01A-01-BS1,,
89,TCGA-A6-6780-01A-01-TS1,,
90,TCGA-A6-6780-01B-03-BS3,,
91,TCGA-A6-6780-01B-04-BS4,,
92,TCGA-AA-3489-01A-01-BS1,,
93,TCGA-AA-3489-01A-02-BS2,,
94,TCGA-AA-3489-11A-01-TS1,,
95,TCGA-AA-3492-01A-01-BS1,,
96,TCGA-AA-3492-01A-01-TS1,,
97,TCGA-AA-3492-11A-01-TS1,,
98,TCGA-AA-3494-01A-01-TS1,,
99,TCGA-AA-3494-11A-01-TS1,,
100,TCGA-AA-3495-01A-01-BS1,,
101,TCGA-AA-3495-01A-01-TS1,,
102,TCGA-AA-3495-11A-01-TS1,,
103,TCGA-AA-3496-01A-01-BS1,,
104,TCGA-AA-3496-01A-02-BS2,,
105,TCGA-AA-3496-11A-01-TS1,,
106,TCGA-AA-3502-01A-01-BS1,,
107,TCGA-AA-3502-01A-01-TS1,,
108,TCGA-AA-3502-11A-01-TS1,,
109,TCGA-AA-3506-01A-01-BS1,,
110,TCGA-AA-3506-01A-01-TS1,,
111,TCGA-AA-3506-11A-01-TS1,,
112,TCGA-AA-3509-01A-01-BS1,,
113,TCGA-AA-3509-01A-01-TS1,,
114,TCGA-AA-3509-11A-01-TS1,,
115,TCGA-AA-3514-01A-01-BS1,,
116,TCGA-AA-3514-01A-02-BS2,,
117,TCGA-AA-3514-11A-01-TS1,,
118,TCGA-AA-3516-01A-01-BS1,,
119,TCGA-AA-3516-11A-01-TS1,,
120,TCGA-AA-3517-01A-01-BS1,,
121,TCGA-AA-3517-01A-01-TS1,,
122,TCGA-AA-3517-11A-01-TS1,,
123,TCGA-AA-3519-01A-01-BS1,,
124,TCGA-AA-3519-01A-02-BS2,,
125,TCGA-AA-3519-11A-01-TS1,,
126,TCGA-AA-3520-01A-01-BS1,,
127,TCGA-AA-3520-01A-01-TS1,,
128,TCGA-AA-3520-11A-01-TS1,,
129,TCGA-AA-3521-01A-01-BS1,,
130,TCGA-AA-3521-01A-01-TS1,,
131,TCGA-AA-3521-11A-01-TS1,,
132,TCGA-AA-3524-01A-01-BS1,,
133,TCGA-AA-3524-11A-01-TS1,,
134,TCGA-AA-3525-01A-02-BS2,,
135,TCGA-AA-3525-11A-01-TS1,,
136,TCGA-AA-3526-11A-01-TS1,,
137,TCGA-AA-3527-11A-01-TS1,,
138,TCGA-AA-3529-11A-01-TS1,,
139,TCGA-AA-3531-01A-01-BS1,,
140,TCGA-AA-3531-11A-01-TS1,,
141,TCGA-AA-3534-11A-01-TS1,,
142,TCGA-AA-3655-11A-01-TS1,,
143,TCGA-AA-3660-11A-01-TS1,,
144,TCGA-AA-3662-11A-01-TS1,,
145,TCGA-AA-3663-11A-01-TS1,,
146,TCGA-AA-3712-11A-01-TS1,,
147,TCGA-AA-3713-11A-01-TS1,,
148,TCGA-AA-A01P-11A-01-BS1,,
149,TCGA-AA-A01R-11A-01-BS1,,
150,TCGA-AA-A01R-11A-01-TS1,,
151,TCGA-AA-A01S-11A-02-BS2,,
152,TCGA-AA-A01T-11A-01-BS1,,
153,TCGA-AA-A01T-11A-01-TS1,,
154,TCGA-AA-A01V-11A-01-BS1,,
155,TCGA-AA-A01V-11A-01-TS1,,
156,TCGA-AA-A01X-11A-01-BS1,,
157,TCGA-AA-A01X-11A-01-TS1,,
158,TCGA-AA-A01Z-11A-01-BS1,,
159,TCGA-AA-A01Z-11A-01-TS1,,
160,TCGA-AA-A022-11A-01-BS1,,
161,TCGA-AA-A022-11A-01-TS1,,
162,TCGA-AA-A02O-11A-01-BS1,,
