,train,val,test
0,TCGA-44-A479-01Z-00-DX1,TCGA-69-7761-01A-01-TS1,TCGA-55-5899-01Z-00-DX1
1,TCGA-55-8619-01A-01-TS1,TCGA-99-8032-11A-01-TS1,TCGA-69-8453-01Z-00-DX1
2,TCGA-55-8619-01Z-00-DX1,TCGA-78-7158-01A-01-TS1,TCGA-95-7039-01Z-00-DX1
3,TCGA-50-6594-11A-01-TS1,TCGA-78-7158-01Z-00-DX1,TCGA-05-4433-01Z-00-DX1
4,TCGA-50-6594-01Z-00-DX1,TCGA-78-7158-01A-01-BS1,TCGA-49-AAR3-01A-01-TSA
5,TCGA-78-7161-01A-01-TS1,TCGA-55-6983-01A-01-TS1,TCGA-MP-A4T6-01Z-00-DX1
6,TCGA-69-7760-01A-01-TS1,TCGA-55-6983-01Z-00-DX1,TCGA-49-4490-01Z-00-DX5
7,TCGA-64-1677-01Z-00-DX1,TCGA-MP-A4T9-01Z-00-DX1,TCGA-49-4490-01A-02-BS2
8,TCGA-05-4427-01A-01-BS1,TCGA-86-8279-01Z-00-DX1,TCGA-55-8208-01A-01-TS1
9,TCGA-64-1677-01A-01-TS1,TCGA-86-8279-01A-01-TS1,TCGA-71-8520-01A-01-TS1
10,TCGA-44-A47A-01Z-00-DX1,TCGA-73-4662-01Z-00-DX1,TCGA-78-7149-01A-01-BS1
11,TCGA-44-A47A-01A-02-TSB,TCGA-05-4426-01A-01-BS1,TCGA-97-7553-01A-01-BS1
12,TCGA-86-8075-01A-01-BS1,TCGA-55-6980-11A-01-TS1,TCGA-53-7813-01A-01-BS1
13,TCGA-62-A46U-01A-01-TS1,TCGA-55-7816-01A-01-TS1,TCGA-05-4422-01A-01-BS1
14,TCGA-55-7573-01A-01-BS1,TCGA-55-7816-01Z-00-DX1,TCGA-86-8281-01Z-00-DX1
15,TCGA-05-5420-01A-01-TS1,TCGA-MP-A4T9-01A-01-TSA,TCGA-91-8496-01A-01-BS1
16,TCGA-62-A46U-01Z-00-DX1,TCGA-38-4632-01Z-00-DX1,TCGA-05-4422-01Z-00-DX1
17,TCGA-44-6147-11A-01-TS1,TCGA-38-4632-11A-01-TS1,TCGA-49-4490-11A-01-TS1
18,TCGA-55-6971-01Z-00-DX1,TCGA-MP-A4TH-01Z-00-DX1,TCGA-49-4490-01Z-00-DX2
19,TCGA-44-2664-01A-01-BS1,TCGA-78-8662-01A-01-TS1,TCGA-49-4490-01Z-00-DX6
20,TCGA-62-8397-01A-01-TS1,TCGA-78-8662-01A-01-BS1,TCGA-69-8453-01A-01-TS1
21,TCGA-44-3917-11A-01-TS1,TCGA-49-6742-11A-01-TS1,TCGA-L9-A743-01Z-00-DX1
22,TCGA-44-3917-01A-01-BS1,TCGA-49-6742-01Z-00-DX4,TCGA-49-6743-01Z-00-DX3
23,TCGA-49-AARQ-01Z-00-DX1,TCGA-49-6742-01A-01-BS1,TCGA-49-AAR3-01Z-00-DX1
24,TCGA-62-8394-01A-01-TS1,TCGA-L4-A4E6-01Z-00-DX1,TCGA-86-8281-01A-01-TS1
25,TCGA-44-7660-01Z-00-DX1,TCGA-73-A9RS-01Z-00-DX1,TCGA-05-4422-01A-01-TS1
26,TCGA-05-4384-01A-01-TS1,TCGA-73-A9RS-01A-01-TS1,TCGA-49-4490-01Z-00-DX3
27,TCGA-55-8206-01A-01-TS1,TCGA-L4-A4E6-01A-01-TSA,TCGA-55-8208-01Z-00-DX1
28,TCGA-05-4417-01A-01-BS1,TCGA-62-A471-01A-01-TSA,TCGA-78-8660-01A-01-TS1
29,TCGA-05-4396-01Z-00-DX1,TCGA-64-5779-01A-01-TS1,TCGA-86-8281-01A-01-BS1
30,TCGA-49-6745-01Z-00-DX7,TCGA-49-6742-01Z-00-DX2,TCGA-55-7281-01Z-00-DX1
31,TCGA-49-6745-01Z-00-DX1,TCGA-49-6742-01Z-00-DX5,TCGA-91-8496-01A-01-TS1
32,TCGA-49-6745-01A-01-BS1,TCGA-73-4662-11A-01-BS1,TCGA-55-7281-01A-01-TS1
33,TCGA-73-4675-11A-01-BS1,TCGA-73-4662-11A-01-TS1,TCGA-49-4490-11A-01-BS1
34,TCGA-73-4675-01Z-00-DX1,TCGA-95-7567-01A-01-TS1,TCGA-49-4490-01Z-00-DX1
35,TCGA-55-7574-01A-01-TS1,TCGA-67-3774-01A-01-TS1,TCGA-49-4490-01A-01-BS1
36,TCGA-78-7150-01Z-00-DX1,TCGA-97-8171-01A-01-TS1,TCGA-49-4490-01Z-00-DX4
37,TCGA-78-7150-01A-01-BS1,TCGA-78-8662-01Z-00-DX1,TCGA-86-8054-01A-01-TS1
38,TCGA-55-7574-01Z-00-DX1,TCGA-64-5779-01Z-00-DX1,TCGA-55-8615-01Z-00-DX1
39,TCGA-50-8459-01A-01-BS1,TCGA-49-6742-01Z-00-DX1,TCGA-55-8615-11A-01-TS1
40,TCGA-86-8278-01Z-00-DX1,TCGA-49-6742-01Z-00-DX3,TCGA-55-8615-01A-01-TS1
41,TCGA-55-1592-01Z-00-DX1,TCGA-49-6742-01A-01-TS1,TCGA-MP-A4T6-01A-03-TSC
42,TCGA-75-6203-01Z-00-DX1,TCGA-86-8279-01A-01-BS1,TCGA-91-8496-11A-01-TS1
43,TCGA-75-7031-01A-01-BS1,TCGA-L4-A4E5-01A-01-TSA,TCGA-55-7281-11A-01-TS1
44,TCGA-49-4507-01Z-00-DX1,TCGA-95-7567-01Z-00-DX1,TCGA-73-4670-01A-01-TS1
45,TCGA-49-4507-11A-01-TS1,TCGA-05-4426-01A-01-TS1,TCGA-73-4670-11A-01-BS1
46,TCGA-49-4507-01A-01-BS1,TCGA-49-AAR9-01Z-00-DX1,TCGA-55-8512-01A-01-TS1
47,TCGA-55-6978-11A-01-TS1,TCGA-44-7669-01Z-00-DX1,TCGA-73-4670-01A-01-BS1
48,TCGA-86-7953-01A-01-BS1,TCGA-86-7954-01Z-00-DX1,TCGA-49-6744-01Z-00-DX3
49,TCGA-86-7953-01A-01-TS1,TCGA-86-7954-01A-01-BS1,TCGA-49-6744-01Z-00-DX4
