,train,val,test
0,TCGA-50-6594-01Z-00-DX1,TCGA-62-A46U-01Z-00-DX1,TCGA-73-4662-01Z-00-DX1
1,TCGA-55-6971-01Z-00-DX1,TCGA-86-8359-01Z-00-DX1,TCGA-55-6642-01Z-00-DX1
2,TCGA-55-5899-01Z-00-DX1,TCGA-53-7624-01Z-00-DX1,TCGA-L9-A8F4-01Z-00-DX1
3,TCGA-49-AARQ-01Z-00-DX1,TCGA-55-8514-01Z-00-DX1,TCGA-49-6761-01Z-00-DX1
4,TCGA-49-6745-01Z-00-DX7,TCGA-MP-A4SV-01Z-00-DX1,TCGA-75-5146-01Z-00-DX1
5,TCGA-49-6745-01Z-00-DX1,TCGA-55-8621-01Z-00-DX1,TCGA-75-6212-01Z-00-DX1
6,TCGA-55-7574-01Z-00-DX1,TCGA-80-5607-01Z-00-DX1,TCGA-MN-A4N5-01Z-00-DX1
7,TCGA-49-4507-01Z-00-DX1,TCGA-97-A4M5-01Z-00-DX1,TCGA-64-5779-01Z-00-DX1
8,TCGA-49-AARO-01Z-00-DX1,TCGA-MP-A4SW-01Z-00-DX1,TCGA-73-4677-01Z-00-DX1
9,TCGA-55-6983-01Z-00-DX1,TCGA-55-A48Z-01Z-00-DX1,TCGA-MP-A4T7-01Z-00-DX1
10,TCGA-49-4490-01Z-00-DX5,TCGA-78-8640-01Z-00-DX1,TCGA-O1-A52J-01Z-00-DX1
11,TCGA-55-6987-01Z-00-DX1,TCGA-95-7562-01Z-00-DX1,TCGA-97-7553-01Z-00-DX1
12,TCGA-49-4507-01Z-00-DX2,TCGA-55-8511-01Z-00-DX1,TCGA-97-A4M7-01Z-00-DX2
13,TCGA-55-6978-01Z-00-DX1,TCGA-55-6986-01Z-00-DX1,TCGA-55-6972-01Z-00-DX1
14,TCGA-55-6979-01Z-00-DX1,TCGA-49-AAR9-01Z-00-DX1,TCGA-64-1681-01Z-00-DX1
15,TCGA-49-4490-01Z-00-DX2,TCGA-97-A4M2-01Z-00-DX1,TCGA-95-A4VK-01Z-00-DX1
16,TCGA-49-4490-01Z-00-DX6,TCGA-55-7911-01Z-00-DX1,TCGA-78-8655-01Z-00-DX1
17,TCGA-50-5942-01Z-00-DX1,TCGA-69-7980-01Z-00-DX1,TCGA-86-8673-01Z-00-DX1
18,TCGA-49-AARN-01Z-00-DX1,TCGA-55-7910-01Z-00-DX1,TCGA-62-A470-01Z-00-DX1
19,TCGA-49-4512-01Z-00-DX1,TCGA-49-4488-01Z-00-DX2,TCGA-69-8254-01Z-00-DX1
20,TCGA-49-6743-01Z-00-DX3,TCGA-49-4488-01Z-00-DX5,TCGA-53-A4EZ-01Z-00-DX1
21,TCGA-49-AAR3-01Z-00-DX1,TCGA-49-4488-01Z-00-DX6,TCGA-97-7554-01Z-00-DX1
22,TCGA-55-7227-01Z-00-DX1,TCGA-49-4488-01Z-00-DX3,TCGA-55-6975-01Z-00-DX1
23,TCGA-49-4490-01Z-00-DX3,TCGA-49-4488-01Z-00-DX8,TCGA-86-8672-01Z-00-DX1
24,TCGA-35-5375-01Z-00-DX1,TCGA-78-7146-01Z-00-DX1,TCGA-55-A493-01Z-00-DX1
25,TCGA-55-7281-01Z-00-DX1,TCGA-75-5126-01Z-00-DX1,TCGA-J2-A4AE-01Z-00-DX1
26,TCGA-49-6767-01Z-00-DX1,TCGA-55-8206-01Z-00-DX1,TCGA-55-8302-01Z-00-DX1
27,TCGA-49-4490-01Z-00-DX1,TCGA-50-5045-01Z-00-DX2,TCGA-50-7109-01Z-00-DX1
28,TCGA-49-4490-01Z-00-DX4,TCGA-50-5045-01Z-00-DX1,TCGA-49-AARR-01Z-00-DX1
29,TCGA-55-1594-01Z-00-DX1,TCGA-73-4668-01Z-00-DX1,TCGA-73-4658-01Z-00-DX1
30,TCGA-49-AAR4-01Z-00-DX1,TCGA-75-6206-01Z-00-DX1,TCGA-78-7167-01Z-00-DX1
31,TCGA-50-5068-01Z-00-DX1,TCGA-49-4488-01Z-00-DX1,TCGA-97-A4M6-01Z-00-DX1
32,TCGA-50-5068-01Z-00-DX2,TCGA-49-4488-01Z-00-DX7,TCGA-55-A57B-01Z-00-DX1
33,TCGA-50-5939-01Z-00-DX1,TCGA-49-4488-01Z-00-DX4,TCGA-77-7338-01Z-00-DX1
34,TCGA-49-6742-01Z-00-DX4,TCGA-NJ-A55O-01Z-00-DX1,TCGA-NC-A5HP-01Z-00-DX1
35,TCGA-55-1596-01Z-00-DX1,TCGA-95-8039-01Z-00-DX1,TCGA-63-7020-01Z-00-DX1
36,TCGA-49-6744-01Z-00-DX3,TCGA-55-8301-01Z-00-DX1,TCGA-18-3421-01Z-00-DX1
37,TCGA-49-6744-01Z-00-DX4,TCGA-97-7941-01Z-00-DX1,TCGA-22-4609-01Z-00-DX1
38,TCGA-49-6742-01Z-00-DX2,TCGA-49-4488-01Z-00-DX10,TCGA-98-8022-01Z-00-DX1
39,TCGA-49-6742-01Z-00-DX5,TCGA-49-4488-01Z-00-DX9,TCGA-66-2783-01Z-00-DX1
40,TCGA-49-AAR0-01Z-00-DX1,TCGA-71-8520-01Z-00-DX1,TCGA-21-1077-01Z-00-DX1
41,TCGA-50-5066-02Z-00-DX1,TCGA-MP-A4TD-01Z-00-DX1,TCGA-92-8065-01Z-00-DX1
42,TCGA-49-6744-01Z-00-DX2,TCGA-97-8171-01Z-00-DX1,TCGA-34-5240-01Z-00-DX1
43,TCGA-49-6742-01Z-00-DX1,TCGA-60-2708-01Z-00-DX1,TCGA-66-2759-01Z-00-DX1
44,TCGA-49-6742-01Z-00-DX3,TCGA-37-A5EM-01Z-00-DX1,TCGA-85-8355-01Z-00-DX1
45,TCGA-53-7813-01Z-00-DX1,TCGA-66-2800-01Z-00-DX1,TCGA-34-7107-01Z-00-DX1
46,TCGA-50-5066-01Z-00-DX1,TCGA-22-1016-01Z-00-DX1,TCGA-56-6546-01Z-00-DX1
47,TCGA-49-4501-01Z-00-DX2,TCGA-63-A5MM-01Z-00-DX1,TCGA-60-2721-01Z-00-DX1
48,TCGA-49-4501-01Z-00-DX1,TCGA-56-7731-01Z-00-DX1,TCGA-22-5477-01Z-00-DX1
49,TCGA-49-4505-01Z-00-DX3,TCGA-98-7454-01Z-00-DX1,TCGA-66-2753-01Z-00-DX1
50,TCGA-49-4505-01Z-00-DX1,TCGA-56-A4ZJ-01Z-00-DX1,TCGA-77-7337-01Z-00-DX1
51,TCGA-49-4505-01Z-00-DX4,TCGA-68-8251-01Z-00-DX1,TCGA-66-2789-01Z-00-DX1
52,TCGA-55-7284-01Z-00-DX1,TCGA-34-5929-01Z-00-DX1,TCGA-39-5011-01Z-00-DX1
53,TCGA-50-5931-01Z-00-DX1,TCGA-60-2695-01Z-00-DX1,TCGA-96-A4JK-01Z-00-DX1
54,TCGA-49-6744-01Z-00-DX1,TCGA-33-AASL-01Z-00-DX1,TCGA-85-8580-01Z-00-DX1
55,TCGA-55-6968-01Z-00-DX1,TCGA-85-A510-01Z-00-DX1,TCGA-NC-A5HF-01Z-00-DX1
56,TCGA-55-6970-01Z-00-DX1,TCGA-77-A5G3-01Z-00-DX1,TCGA-22-5474-01Z-00-DX1
57,TCGA-49-4512-01Z-00-DX8,TCGA-18-3412-01Z-00-DX1,TCGA-85-8481-01Z-00-DX1
