,train,val,test
0,TCGA-55-8619-01Z-00-DX1,TCGA-55-5899-01Z-00-DX1,TCGA-78-7158-01Z-00-DX1
1,TCGA-50-6594-01Z-00-DX1,TCGA-73-4675-01Z-00-DX1,TCGA-49-4507-01Z-00-DX1
2,TCGA-64-1677-01Z-00-DX1,TCGA-78-7150-01Z-00-DX1,TCGA-L9-A444-01Z-00-DX1
3,TCGA-62-A46U-01Z-00-DX1,TCGA-86-A4D0-01Z-00-DX1,TCGA-73-4662-01Z-00-DX1
4,TCGA-55-6971-01Z-00-DX1,TCGA-53-7624-01Z-00-DX1,TCGA-49-4507-01Z-00-DX2
5,TCGA-49-AARQ-01Z-00-DX1,TCGA-55-8090-01Z-00-DX1,TCGA-55-6978-01Z-00-DX1
6,TCGA-49-6745-01Z-00-DX7,TCGA-55-6979-01Z-00-DX1,TCGA-MP-A4TH-01Z-00-DX1
7,TCGA-49-6745-01Z-00-DX1,TCGA-55-8621-01Z-00-DX1,TCGA-55-7994-01Z-00-DX1
8,TCGA-55-7574-01Z-00-DX1,TCGA-55-8203-01Z-00-DX1,TCGA-35-5375-01Z-00-DX1
9,TCGA-49-AARO-01Z-00-DX1,TCGA-49-6743-01Z-00-DX3,TCGA-97-7552-01Z-00-DX1
10,TCGA-55-6983-01Z-00-DX1,TCGA-71-6725-01Z-00-DX1,TCGA-55-8511-01Z-00-DX1
11,TCGA-55-8620-01Z-00-DX1,TCGA-55-8085-01Z-00-DX1,TCGA-69-7763-01Z-00-DX1
12,TCGA-55-8514-01Z-00-DX1,TCGA-49-AAR4-01Z-00-DX1,TCGA-49-AAR0-01Z-00-DX1
13,TCGA-49-4490-01Z-00-DX5,TCGA-MN-A4N5-01Z-00-DX1,TCGA-L9-A5IP-01Z-00-DX1
14,TCGA-55-6987-01Z-00-DX1,TCGA-73-4670-01Z-00-DX1,TCGA-73-4677-01Z-00-DX1
15,TCGA-55-6642-01Z-00-DX1,TCGA-86-A4P7-01Z-00-DX1,TCGA-49-AAR9-01Z-00-DX1
16,TCGA-55-7816-01Z-00-DX1,TCGA-49-6743-01Z-00-DX2,TCGA-62-A46P-01Z-00-DX1
17,TCGA-49-4490-01Z-00-DX2,TCGA-49-4506-01Z-00-DX3,TCGA-55-A4DF-01Z-00-DX1
18,TCGA-49-4490-01Z-00-DX6,TCGA-MP-A4TE-01Z-00-DX1,TCGA-MP-A4T8-01Z-00-DX1
19,TCGA-50-5942-01Z-00-DX1,TCGA-95-A4VK-01Z-00-DX1,TCGA-78-7152-01Z-00-DX1
20,TCGA-55-7726-01Z-00-DX1,TCGA-97-A4M0-01Z-00-DX1,TCGA-64-1681-01Z-00-DX1
21,TCGA-49-AARN-01Z-00-DX1,TCGA-55-6712-01Z-00-DX1,TCGA-86-6562-01Z-00-DX1
22,TCGA-49-4512-01Z-00-DX1,TCGA-49-6743-01Z-00-DX4,TCGA-69-7978-01Z-00-DX1
23,TCGA-55-A491-01Z-00-DX1,TCGA-49-6743-01Z-00-DX1,TCGA-64-5775-01Z-00-DX1
24,TCGA-49-AAR3-01Z-00-DX1,TCGA-55-8513-01Z-00-DX1,TCGA-78-7147-01Z-00-DX1
25,TCGA-55-7227-01Z-00-DX1,TCGA-NJ-A55A-01Z-00-DX1,TCGA-69-8254-01Z-00-DX1
26,TCGA-49-4490-01Z-00-DX3,TCGA-49-4506-01Z-00-DX4,TCGA-55-8206-01Z-00-DX1
27,TCGA-55-8208-01Z-00-DX1,TCGA-49-4506-01Z-00-DX2,TCGA-73-4668-01Z-00-DX1
28,TCGA-55-7281-01Z-00-DX1,TCGA-93-8067-01Z-00-DX1,TCGA-55-7907-01Z-00-DX1
29,TCGA-55-8094-01Z-00-DX1,TCGA-95-7043-01Z-00-DX1,TCGA-J2-A4AE-01Z-00-DX1
30,TCGA-55-7914-01Z-00-DX1,TCGA-53-7626-01Z-00-DX1,TCGA-78-7536-01Z-00-DX1
31,TCGA-49-6767-01Z-00-DX1,TCGA-53-A4EZ-01Z-00-DX1,TCGA-55-8087-01Z-00-DX1
32,TCGA-49-4490-01Z-00-DX1,TCGA-62-A472-01Z-00-DX1,TCGA-78-7149-01Z-00-DX1
33,TCGA-49-4490-01Z-00-DX4,TCGA-NJ-A55O-01Z-00-DX1,TCGA-J2-A4AD-01Z-00-DX1
34,TCGA-55-1594-01Z-00-DX1,TCGA-49-4506-01Z-00-DX1,TCGA-60-2708-01Z-00-DX1
35,TCGA-55-8615-01Z-00-DX1,TCGA-64-5774-01Z-00-DX1,TCGA-33-4547-01Z-00-DX5
36,TCGA-55-8092-01Z-00-DX1,TCGA-97-A4M6-01Z-00-DX1,TCGA-33-4547-01Z-00-DX7
37,TCGA-50-5068-01Z-00-DX1,TCGA-71-8520-01Z-00-DX1,TCGA-33-4547-01Z-00-DX4
38,TCGA-50-5068-01Z-00-DX2,TCGA-55-A492-01Z-00-DX1,TCGA-33-4547-01Z-00-DX3
39,TCGA-49-6761-01Z-00-DX1,TCGA-92-7341-01Z-00-DX1,TCGA-56-6545-01Z-00-DX1
40,TCGA-50-5939-01Z-00-DX1,TCGA-18-4086-01Z-00-DX1,TCGA-85-8582-01Z-00-DX1
41,TCGA-49-6742-01Z-00-DX4,TCGA-85-A4JC-01Z-00-DX1,TCGA-NC-A5HG-01Z-00-DX1
42,TCGA-55-8089-01Z-00-DX1,TCGA-37-4132-01Z-00-DX1,TCGA-66-2758-01Z-00-DX1
43,TCGA-55-A48Z-01Z-00-DX1,TCGA-22-4609-01Z-00-DX1,TCGA-56-8503-01Z-00-DX1
44,TCGA-55-1596-01Z-00-DX1,TCGA-68-7755-01Z-00-DX1,TCGA-39-5031-01Z-00-DX1
45,TCGA-49-6744-01Z-00-DX3,TCGA-22-4595-01Z-00-DX1,TCGA-34-2600-01Z-00-DX1
46,TCGA-49-6744-01Z-00-DX4,TCGA-66-2778-01Z-00-DX1,TCGA-33-4533-01Z-00-DX3
47,TCGA-55-8512-01Z-00-DX1,TCGA-33-6738-01Z-00-DX5,TCGA-33-4533-01Z-00-DX2
48,TCGA-69-7764-01Z-00-DX1,TCGA-37-A5EL-01Z-00-DX1,TCGA-33-4533-01Z-00-DX4
49,TCGA-49-6742-01Z-00-DX2,TCGA-33-6738-01Z-00-DX3,TCGA-33-4533-01Z-00-DX1
50,TCGA-49-6742-01Z-00-DX5,TCGA-33-6738-01Z-00-DX6,TCGA-33-4533-01Z-00-DX5
51,TCGA-55-8096-01Z-00-DX1,TCGA-66-2788-01Z-00-DX1,TCGA-21-1071-01Z-00-DX1
52,TCGA-64-5781-01Z-00-DX1,TCGA-85-8351-01Z-00-DX1,TCGA-O2-A52S-01Z-00-DX1
53,TCGA-50-5066-02Z-00-DX1,TCGA-33-6738-01Z-00-DX2,TCGA-21-5787-01Z-00-DX1
54,TCGA-55-A48Y-01Z-00-DX1,TCGA-33-6738-01Z-00-DX4,TCGA-56-6546-01Z-00-DX1
55,TCGA-64-1680-01Z-00-DX1,TCGA-85-8664-01Z-00-DX1,TCGA-77-7139-01Z-00-DX1
56,TCGA-49-6744-01Z-00-DX2,TCGA-85-A512-01Z-00-DX1,TCGA-60-2712-01Z-00-DX1
57,TCGA-64-5779-01Z-00-DX1,TCGA-85-A511-01Z-00-DX1,TCGA-94-7943-01Z-00-DX1
58,TCGA-49-6742-01Z-00-DX1,TCGA-22-5477-01Z-00-DX1,TCGA-NC-A5HN-01Z-00-DX1
59,TCGA-49-6742-01Z-00-DX3,TCGA-33-6738-01Z-00-DX1,TCGA-68-7756-01Z-00-DX1
60,TCGA-55-A48X-01Z-00-DX1,TCGA-66-2768-01Z-00-DX1,TCGA-39-5040-01Z-00-DX1
61,TCGA-55-6986-01Z-00-DX1,TCGA-58-A46K-01Z-00-DX1,TCGA-94-7557-01Z-00-DX1
62,TCGA-53-7813-01Z-00-DX1,TCGA-77-8130-01Z-00-DX1,TCGA-77-A5G7-01Z-00-DX1
63,TCGA-69-7974-01Z-00-DX1,TCGA-22-4601-01Z-00-DX1,TCGA-77-8145-01Z-00-DX1
64,TCGA-55-7576-01Z-00-DX1,TCGA-22-A5C4-01Z-00-DX1,TCGA-77-8156-01Z-00-DX1
65,TCGA-50-5066-01Z-00-DX1,TCGA-52-7809-01Z-00-DX1,TCGA-22-4593-01Z-00-DX1
66,TCGA-49-4501-01Z-00-DX2,TCGA-77-8150-01Z-00-DX1,TCGA-66-2780-01Z-00-DX1
67,TCGA-49-4501-01Z-00-DX1,TCGA-21-5786-01Z-00-DX1,TCGA-85-A4CL-01Z-00-DX1
68,TCGA-49-4505-01Z-00-DX3,TCGA-85-8666-01Z-00-DX1,TCGA-94-A4VJ-01Z-00-DX1
69,TCGA-49-4505-01Z-00-DX1,TCGA-NC-A5HJ-01Z-00-DX1,TCGA-51-6867-01Z-00-DX1
70,TCGA-49-4505-01Z-00-DX4,TCGA-66-2763-01Z-00-DX1,TCGA-33-4547-01Z-00-DX6
71,TCGA-55-7284-01Z-00-DX1,TCGA-39-5024-01Z-00-DX1,TCGA-37-4133-01Z-00-DX1
72,TCGA-67-3774-01Z-00-DX1,TCGA-77-8146-01Z-00-DX1,TCGA-33-4547-01Z-00-DX2
73,TCGA-55-8506-01Z-00-DX1,TCGA-LA-A7SW-01Z-00-DX1,TCGA-22-0940-01Z-00-DX1
