,train,val,test
0,11445,10499,10678
1,11446,10500,10889
2,11447,10501,10669
3,NLSI0000526,11191,10670
4,9483,11192,10886
5,9484,11193,11020
6,9485,10674,11021
7,9736,10675,11022
8,9737,10676,9993
9,9738,NLSI0000023,11194
10,11361,NLSI0000024,NLSI0000117
11,11362,10460,NLSI0000118
12,11363,10461,NLSI0000119
13,10618,10489,NLSI0000173
14,11301,10490,NLSI0000174
15,11333,NLSI0000125,11336
16,11334,NLSI0000126,11337
17,11335,NLSI0000127,11338
18,NLSI0000098,11321,11303
19,NLSI0000099,11322,11304
20,NLSI0000100,NLSI0000074,11305
21,NLSI0000101,NLSI0000075,11306
22,9664,NLSI0000076,10110
23,9665,11785,10111
24,10135,11786,9755
25,10136,11787,9756
26,NLSI0000524,11788,9757
27,NLSI0000525,11053,NLSI0000134
28,NLSI0000151,11112,NLSI0000135
29,NLSI0000152,11113,NLSI0000136
30,NLSI0000153,NLSI0000215,NLSI0000137
31,10862,NLSI0000216,10837
32,10863,NLSI0000217,10840
33,10864,10378,10934
34,11273,10379,NLSI0000154
35,11274,10380,NLSI0000155
36,11275,NLSI0000250,NLSI0000156
37,9681,NLSI0000251-001,10037
38,9682,NLSI0000252,9776
39,9683,NLSI0000246,9777
40,9684,NLSI0000247,9778
41,10130,NLSI0000248,11454
42,10131,NLSI0000077,11455
43,10372,NLSI0000078,11456
44,10856,NLSI0000079-001,11457
45,10857,11299,10521
46,10046,10872,NLSI0000131
47,9987,10873,NLSI0000132
48,9988,10874,NLSI0000133
49,NLSI0000293,11118,9387
50,NLSI0000294,11119,9388
51,NLSI0000295,11120,9389
52,9542,10160,11439
53,9543,10161,11440
54,9544,10162,11441
55,10024,NLSI0000213,NLSI0000203
56,9989,11223,NLSI0000204
57,9990,11224,NLSI0000205
58,10994,11225,NLSI0000128
59,10995,11226,NLSI0000129
60,10996,11227,NLSI0000130
61,11426,11228,10408
62,11427,10516,10409
63,11428,10517,10410
64,11042,10518,10643
65,11043,10519,10852
66,11044,NLSI0000209,11182
67,NLSI0000111,NLSI0000210,11183
68,NLSI0000112,NLSI0000211,11184
69,10183,NLSI0000145,10846
70,10184,NLSI0000146,11392
71,10530,NLSI0000147,11393
72,10619,11465,11394
73,9480,11466,11379
74,9481,11467,11380
75,9482,10422,11354
76,11413,9938,11355
77,NLSI0000045,9954,11356
78,NLSI0000046,9955,11129
79,NLSI0000047,9733,11130
80,NLSI0000032,9734,11131
81,NLSI0000033,9735,9669
82,NLSI0000034,10375,9670
83,NLSI0000035,10376,9671
84,NLSI0000036,10377,
85,NLSI0000037,11795,
86,11259,11796,
87,11260,10424,
88,11261,10515,
89,11262,,
90,11007,,
91,11008,,
92,11009,,
93,NLSI0000226,,
94,NLSI0000227,,
95,NLSI0000228,,
96,11357,,
97,11358,,
98,11359,,
99,11360,,
100,9530,,
101,9531,,
102,9532,,
103,11471,,
104,11472,,
105,11402,,
106,11403,,
107,11404,,
108,11405,,
109,11185,,
110,11186,,
111,11187,,
112,9549,,
113,9550,,
114,9551,,
115,9462,,
116,9463,,
117,11003,,
118,11004,,
119,11005,,
120,11006,,
121,9973,,
122,9974,,
123,9975,,
124,9976,,
