,train,val,test
11445,True,False,False
11446,True,False,False
11447,True,False,False
NLSI0000526,True,False,False
9736,True,False,False
9737,True,False,False
9738,True,False,False
11361,True,False,False
11362,True,False,False
11363,True,False,False
10618,True,False,False
11301,True,False,False
11333,True,False,False
11334,True,False,False
11335,True,False,False
11785,True,False,False
11786,True,False,False
11787,True,False,False
11788,True,False,False
10135,True,False,False
10136,True,False,False
NLSI0000117,True,False,False
NLSI0000118,True,False,False
NLSI0000119,True,False,False
NLSI0000151,True,False,False
NLSI0000152,True,False,False
NLSI0000153,True,False,False
10499,True,False,False
10500,True,False,False
10501,True,False,False
10130,True,False,False
10131,True,False,False
10372,True,False,False
10046,True,False,False
9987,True,False,False
9988,True,False,False
9542,True,False,False
9543,True,False,False
9544,True,False,False
10024,True,False,False
9989,True,False,False
9990,True,False,False
10994,True,False,False
10995,True,False,False
10996,True,False,False
11426,True,False,False
11427,True,False,False
11428,True,False,False
11042,True,False,False
11043,True,False,False
11044,True,False,False
NLSI0000111,True,False,False
NLSI0000112,True,False,False
9755,True,False,False
9756,True,False,False
9757,True,False,False
10183,True,False,False
10184,True,False,False
10530,True,False,False
10619,True,False,False
9480,True,False,False
9481,True,False,False
9482,True,False,False
11413,True,False,False
NLSI0000045,True,False,False
NLSI0000046,True,False,False
NLSI0000047,True,False,False
NLSI0000032,True,False,False
NLSI0000033,True,False,False
NLSI0000034,True,False,False
NLSI0000035,True,False,False
NLSI0000036,True,False,False
NLSI0000037,True,False,False
11259,True,False,False
11260,True,False,False
11261,True,False,False
11262,True,False,False
10460,True,False,False
10461,True,False,False
10489,True,False,False
10490,True,False,False
11007,True,False,False
11008,True,False,False
11009,True,False,False
NLSI0000226,True,False,False
NLSI0000227,True,False,False
NLSI0000228,True,False,False
11357,True,False,False
11358,True,False,False
11359,True,False,False
11360,True,False,False
9530,True,False,False
9531,True,False,False
9532,True,False,False
11402,True,False,False
11403,True,False,False
11404,True,False,False
11405,True,False,False
11185,True,False,False
11186,True,False,False
11187,True,False,False
9549,True,False,False
9550,True,False,False
9551,True,False,False
9462,True,False,False
9463,True,False,False
11003,True,False,False
11004,True,False,False
11005,True,False,False
11006,True,False,False
9973,True,False,False
9974,True,False,False
9975,True,False,False
9976,True,False,False
NLSI0000262,True,False,False
NLSI0000263,True,False,False
NLSI0000264,True,False,False
NLSI0000265,True,False,False
11348,True,False,False
11349,True,False,False
11350,True,False,False
11251,True,False,False
11252,True,False,False
11364,True,False,False
11365,True,False,False
11366,True,False,False
9473,True,False,False
9474,True,False,False
9475,True,False,False
11432,True,False,False
11433,True,False,False
11434,True,False,False
11435,True,False,False
11436,True,False,False
11437,True,False,False
9495,True,False,False
9496,True,False,False
9497,True,False,False
10021,True,False,False
NLSI0000104,True,False,False
NLSI0000105,True,False,False
NLSI0000106,True,False,False
11247,True,False,False
11248,True,False,False
11249,True,False,False
11250,True,False,False
10484,True,False,False
10485,True,False,False
10486,True,False,False
11429,True,False,False
11430,True,False,False
