,train,val,test
C3L-00001-21,True,False,False
C3L-00009-21,True,False,False
C3L-00080-21,True,False,False
C3L-00083-21,True,False,False
C3L-00093-21,True,False,False
C3L-00094-21,True,False,False
C3L-00140-21,True,False,False
C3L-00140-22,True,False,False
C3L-00263-21,True,False,False
C3L-00263-22,True,False,False
C3L-00263-23,True,False,False
C3L-00263-24,True,False,False
C3L-00263-25,True,False,False
C3L-00279-21,True,False,False
C3L-00279-22,True,False,False
C3L-00279-23,True,False,False
C3L-00368-21,True,False,False
C3L-00368-22,True,False,False
C3L-00412-21,True,False,False
C3L-00422-21,True,False,False
C3L-00422-22,True,False,False
C3L-00422-23,True,False,False
C3L-00444-21,True,False,False
C3L-00444-22,True,False,False
C3L-00444-23,True,False,False
C3L-00446-21,True,False,False
C3L-00446-22,True,False,False
C3L-00446-23,True,False,False
C3L-00446-24,True,False,False
C3L-00510-21,True,False,False
C3L-00510-22,True,False,False
C3L-00510-23,True,False,False
C3L-00604-21,True,False,False
C3L-00604-22,True,False,False
C3L-00604-23,True,False,False
C3L-00973-21,True,False,False
C3L-00973-22,True,False,False
C3L-00973-23,True,False,False
C3L-00973-24,True,False,False
C3L-00973-25,True,False,False
C3L-01330-21,True,False,False
C3L-01330-22,True,False,False
C3L-01330-23,True,False,False
C3L-01632-21,True,False,False
C3L-01632-22,True,False,False
C3L-01632-23,True,False,False
C3L-01682-21,True,False,False
C3L-01682-23,True,False,False
C3L-01683-26,True,False,False
C3L-01683-27,True,False,False
C3L-01862-21,True,False,False
C3L-01862-22,True,False,False
C3L-01862-23,True,False,False
C3L-01889-21,True,False,False
C3L-01890-22,True,False,False
C3L-01924-21,True,False,False
C3L-01924-22,True,False,False
C3L-01924-23,True,False,False
C3L-01924-24,True,False,False
C3L-01924-25,True,False,False
C3L-02165-21,True,False,False
C3L-02165-22,True,False,False
C3L-02165-23,True,False,False
C3L-02219-21,True,False,False
C3L-02219-22,True,False,False
C3L-02345-21,True,False,False
C3L-02345-22,True,False,False
C3L-02345-23,True,False,False
