,train,val,test
0,10015,11009,9973
1,10021,NLSI0000246,NLSI0000113
2,10024,10904,9481
3,10037,11233,10402
4,10110,10903,10901
5,10111,11352,NLSI0000153
6,10120,11273,11460
7,10121,11404,11187
8,10122,11263,10889
9,10126,11112,11012
10,10127,9756,10136
11,10130,NLSI0000004,10491
12,10131,NLSI0000199,NLSI0000076
13,10132,9543,10860
14,10133,NLSI0000125,NLSI0000524
15,10134,11031,NLSI0000289
16,10160,10046,10393
17,10161,10902,NLSI0000224
18,10162,NLSI0000133,11188
19,10166,11334,9527
20,10168,9546,9390
21,10183,11020,NLSI0000029
22,10184,NLSI0000185,10135
23,10352,11029,10380
24,10368,10125,NLSI0000127
25,10372,11454,NLSI0000272
26,10373,NLSI0000101,11347
27,10378,10542,11789
28,10379,9387,10419
29,10381,NLSI0000181,10374
30,10382,10530,11285
31,10383,9746,NLSI0000069
32,10384,11235,11413
33,10391,10988,9776
34,10392,10367,NLSI0000159
35,10400,9464,NLSI0000034
36,10401,NLSI0000135,10489
37,10403,NLSI0000045,9684
38,10404,11042,11456
39,10411,NLSI0000126,9665
40,10412,11299,NLSI0000197
41,10417,11321,9683
42,10418,10989,11360
43,10420,11345,11338
44,10443,9747,NLSI0000261
45,10460,11229,NLSI0000077
46,10461,10937,11357
47,10484,11344,9722
48,10485,11185,11261
49,10486,NLSI0000160,NLSI0000228
50,10490,NLSI0000270,11464
51,10492,NLSI0000174,NLSI0000161
52,10493,NLSI0000255,11008
53,10495,11240,11362
54,10497,10494,NLSI0000023
55,10498,10502,9392
56,10499,NLSI0000081,11794
57,10500,10422,9705
58,10501,11424,10624
59,10503,9719,NLSI0000209
60,10504,NLSI0000072,9949
61,10508,11184,NLSI0000050
62,10509,10900,11421
63,10510,11289,NLSI0000287
64,10513,NLSI0000062,11183
65,10514,9399,9659
66,10521,11241,10518
67,10526,NLSI0000193,10897
68,10618,9734,11397
69,10619,10415,10852
70,10636,9471,11411
71,10653,9490,NLSI0000204
72,10654,11356,9679
73,10669,11796,11394
74,10670,9714,NLSI0000149
75,10672,11387,11468
76,10673,11013,11465
77,10674,NLSI0000145,9703
78,10675,11291,11466
79,10676,11441,9961
80,10678,11467,9470
81,10837,9718,9669
82,10840,10844,9680
83,10850,9977,10387
84,10851,9539,12062
85,10856,NLSI0000146,9533
86,10857,10153,11531
87,10858,,
88,10859,,
89,10862,,
90,10863,,
91,10864,,
92,10872,,
93,10873,,
94,10874,,
95,10876,,
96,10877,,
97,10878,,
98,10879,,
99,10886,,
100,10887,,
101,10905,,
102,10934,,
103,10938,,
104,10939,,
105,10940,,
106,10987,,
107,10990,,
108,10991,,
109,10992,,
110,10993,,
111,10994,,
112,10995,,
113,10996,,
114,11001,,
115,11002,,
116,11003,,
117,11004,,
118,11005,,
119,11006,,
120,11007,,
121,11010,,
122,11011,,
123,11021,,
124,11022,,
125,11026,,
126,11030,,
127,11032,,
128,11033,,
129,11034,,
130,11036,,
131,11037,,
132,11038,,
133,11043,,
134,11044,,
135,11053,,
136,11104,,
137,11105,,
138,11106,,
139,11107,,
140,11113,,
141,11118,,
142,11119,,
143,11120,,
144,11124,,
145,11125,,
146,11126,,
147,11186,,
148,11189,,
149,11190,,
150,11191,,
151,11192,,
152,11193,,
153,11194,,
154,11215,,
155,11216,,
156,11217,,
157,11218,,
158,11219,,
159,11234,,
160,11236,,
161,11237,,
162,11238,,
163,11239,,
164,11247,,
165,11248,,
166,11249,,
167,11250,,
168,11251,,
169,11252,,
170,11259,,
171,11260,,
172,11262,,
173,11264,,
174,11265,,
175,11266,,
176,11269,,
177,11270,,
178,11271,,
179,11272,,
180,11274,,
181,11275,,
182,11279,,
183,11280,,
184,11281,,
185,11286,,
186,11287,,
187,11295,,
188,11296,,
189,11297,,
190,11301,,
191,11303,,
192,11304,,
193,11305,,
194,11306,,
195,11322,,
196,11333,,
197,11335,,
198,11336,,
199,11337,,
200,11342,,
201,11343,,
202,11346,,
203,11348,,
204,11349,,
205,11350,,
206,11351,,
207,11353,,
208,11358,,
209,11359,,
210,11361,,
211,11363,,
212,11364,,
213,11365,,
214,11366,,
215,11367,,
216,11368,,
217,11369,,
218,11381,,
219,11382,,
220,11383,,
221,11398,,
222,11399,,
223,11400,,
224,11401,,
225,11402,,
226,11403,,
227,11405,,
228,11409,,
229,11426,,
230,11427,,
231,11428,,
232,11429,,
233,11430,,
234,11431,,
235,11432,,
236,11433,,
237,11434,,
238,11435,,
239,11436,,
240,11437,,
241,11445,,
242,11446,,
243,11447,,
244,11455,,
245,11457,,
246,11461,,
247,11462,,
248,11463,,
249,11471,,
250,11472,,
251,11785,,
252,11786,,
253,11787,,
254,11788,,
255,9388,,
256,9389,,
257,9400,,
258,9401,,
259,9402,,
260,9406,,
261,9407,,
262,9408,,
263,9459,,
264,9460,,
265,9461,,
266,9462,,
267,9463,,
268,9465,,
269,9466,,
270,9467,,
271,9468,,
272,9469,,
273,9473,,
274,9474,,
275,9475,,
276,9480,,
277,9482,,
278,9483,,
279,9484,,
280,9485,,
281,9486,,
282,9487,,
283,9488,,
284,9495,,
285,9496,,
286,9497,,
287,9528,,
288,9529,,
