,train,val,test
10021,True,False,False
10024,True,False,False
10037,True,False,False
10046,True,False,False
10110,True,False,False
10111,True,False,False
10121,True,False,False
10125,True,False,False
10127,True,False,False
10130,True,False,False
10131,True,False,False
10132,True,False,False
10133,True,False,False
10134,True,False,False
10135,True,False,False
10136,True,False,False
10160,True,False,False
10161,True,False,False
10162,True,False,False
10166,True,False,False
10168,True,False,False
10183,True,False,False
10352,True,False,False
10367,True,False,False
10372,True,False,False
10373,True,False,False
10374,True,False,False
10378,True,False,False
10380,True,False,False
10381,True,False,False
10382,True,False,False
10384,True,False,False
10391,True,False,False
10393,True,False,False
10400,True,False,False
10401,True,False,False
10403,True,False,False
10411,True,False,False
10417,True,False,False
10418,True,False,False
10419,True,False,False
10420,True,False,False
10443,True,False,False
10461,True,False,False
10484,True,False,False
10485,True,False,False
10486,True,False,False
10489,True,False,False
10490,True,False,False
10491,True,False,False
10492,True,False,False
10493,True,False,False
10495,True,False,False
10499,True,False,False
10500,True,False,False
10501,True,False,False
10503,True,False,False
10504,True,False,False
10508,True,False,False
10510,True,False,False
10513,True,False,False
10514,True,False,False
10521,True,False,False
10526,True,False,False
10530,True,False,False
10542,True,False,False
10618,True,False,False
10619,True,False,False
10636,True,False,False
10654,True,False,False
10670,True,False,False
10673,True,False,False
10674,True,False,False
10675,True,False,False
10676,True,False,False
10840,True,False,False
10850,True,False,False
10851,True,False,False
10856,True,False,False
10857,True,False,False
10858,True,False,False
10860,True,False,False
10862,True,False,False
10863,True,False,False
10864,True,False,False
10873,True,False,False
10877,True,False,False
10878,True,False,False
10887,True,False,False
10901,True,False,False
10902,True,False,False
10903,True,False,False
10904,True,False,False
10905,True,False,False
10934,True,False,False
10938,True,False,False
10939,True,False,False
10940,True,False,False
10987,True,False,False
10988,True,False,False
10989,True,False,False
10990,True,False,False
10991,True,False,False
10992,True,False,False
10993,True,False,False
10996,True,False,False
11001,True,False,False
11002,True,False,False
11003,True,False,False
11005,True,False,False
11006,True,False,False
11008,True,False,False
11010,True,False,False
11011,True,False,False
11012,True,False,False
11020,True,False,False
11021,True,False,False
11022,True,False,False
11026,True,False,False
11029,True,False,False
11030,True,False,False
11031,True,False,False
11032,True,False,False
11033,True,False,False
11034,True,False,False
11036,True,False,False
11037,True,False,False
11038,True,False,False
11042,True,False,False
11043,True,False,False
11053,True,False,False
11104,True,False,False
11105,True,False,False
11106,True,False,False
11107,True,False,False
11113,True,False,False
11118,True,False,False
11119,True,False,False
11120,True,False,False
11124,True,False,False
11125,True,False,False
11126,True,False,False
11185,True,False,False
11187,True,False,False
11188,True,False,False
11189,True,False,False
11190,True,False,False
11191,True,False,False
11192,True,False,False
11193,True,False,False
11194,True,False,False
11215,True,False,False
11216,True,False,False
11217,True,False,False
11218,True,False,False
11219,True,False,False
11229,True,False,False
11233,True,False,False
11234,True,False,False
11235,True,False,False
11237,True,False,False
11238,True,False,False
11240,True,False,False
11247,True,False,False
11248,True,False,False
11249,True,False,False
11250,True,False,False
11252,True,False,False
11259,True,False,False
11260,True,False,False
11262,True,False,False
11263,True,False,False
11264,True,False,False
11265,True,False,False
11266,True,False,False
11269,True,False,False
11271,True,False,False
11272,True,False,False
11274,True,False,False
11275,True,False,False
11279,True,False,False
11280,True,False,False
11281,True,False,False
11285,True,False,False
11286,True,False,False
11287,True,False,False
11296,True,False,False
11301,True,False,False
11303,True,False,False
11306,True,False,False
11322,True,False,False
11333,True,False,False
11334,True,False,False
11335,True,False,False
11336,True,False,False
11337,True,False,False
11338,True,False,False
11343,True,False,False
11344,True,False,False
11345,True,False,False
11346,True,False,False
11347,True,False,False
11348,True,False,False
11349,True,False,False
11350,True,False,False
11351,True,False,False
11352,True,False,False
11353,True,False,False
11357,True,False,False
11359,True,False,False
11360,True,False,False
11361,True,False,False
11362,True,False,False
11363,True,False,False
11364,True,False,False
11365,True,False,False
11367,True,False,False
11369,True,False,False
11381,True,False,False
11382,True,False,False
11383,True,False,False
11398,True,False,False
11399,True,False,False
11400,True,False,False
11401,True,False,False
11403,True,False,False
11404,True,False,False
11405,True,False,False
11413,True,False,False
11427,True,False,False
11428,True,False,False
11429,True,False,False
11430,True,False,False
11431,True,False,False
11432,True,False,False
11434,True,False,False
11435,True,False,False
11437,True,False,False
11445,True,False,False
11446,True,False,False
11447,True,False,False
11454,True,False,False
