,train,val,test
TCGA-18-3407-11A-01-BS1,True,False,False
TCGA-18-3407-01Z-00-DX1,True,False,False
TCGA-18-3407-11A-01-TS1,True,False,False
TCGA-18-3410-11A-01-TS1,True,False,False
TCGA-18-3410-11A-01-BS1,True,False,False
TCGA-18-3410-01Z-00-DX1,True,False,False
TCGA-18-3411-01Z-00-DX1,True,False,False
TCGA-18-3411-11A-01-TS1,True,False,False
TCGA-18-3411-11A-01-BS1,True,False,False
TCGA-18-3416-11A-01-TS1,True,False,False
TCGA-18-3416-11A-01-BS1,True,False,False
TCGA-18-3416-01Z-00-DX1,True,False,False
TCGA-18-3417-11A-01-TS1,True,False,False
TCGA-18-3417-01Z-00-DX1,True,False,False
TCGA-34-2608-11A-01-TS1,True,False,False
TCGA-34-2608-01A-01-BS1,True,False,False
TCGA-34-2608-01A-02-BS2,True,False,False
TCGA-34-2608-11A-01-BS1,True,False,False
TCGA-34-2609-11A-01-BS1,True,False,False
TCGA-34-2609-01A-01-TS1,True,False,False
TCGA-34-2609-11A-01-TS1,True,False,False
TCGA-34-2609-01A-01-BS1,True,False,False
TCGA-38-4631-11A-01-TS1,True,False,False
TCGA-38-4631-01A-01-BS1,True,False,False
TCGA-38-4631-11A-01-BS1,True,False,False
TCGA-38-4631-01Z-00-DX1,True,False,False
TCGA-44-8120-11A-01-TS1,True,False,False
TCGA-44-8120-01A-01-TS1,True,False,False
TCGA-55-6982-11A-01-TS1,True,False,False
TCGA-55-6982-01Z-00-DX1,True,False,False
TCGA-55-7724-11A-01-TS1,True,False,False
TCGA-55-7724-01Z-00-DX1,True,False,False
TCGA-55-7913-11A-01-TS1,True,False,False
TCGA-55-7913-01Z-00-DX1,True,False,False
TCGA-55-8299-11A-01-TS1,True,False,False
TCGA-55-8299-01Z-00-DX1,True,False,False
TCGA-55-8301-11A-01-TS1,True,False,False
TCGA-55-8301-01Z-00-DX1,True,False,False
TCGA-55-8506-11A-01-TS1,True,False,False
TCGA-55-8506-01Z-00-DX1,True,False,False
