,train,val,test
TCGA-18-3407-11A-01-BS1,True,False,False
TCGA-18-3407-01Z-00-DX1,True,False,False
TCGA-18-3407-11A-01-TS1,True,False,False
TCGA-18-3410-11A-01-TS1,True,False,False
TCGA-18-3410-11A-01-BS1,True,False,False
TCGA-18-3410-01Z-00-DX1,True,False,False
TCGA-18-3411-01Z-00-DX1,True,False,False
TCGA-18-3411-11A-01-TS1,True,False,False
TCGA-18-3411-11A-01-BS1,True,False,False
TCGA-18-3414-11A-01-BS1,True,False,False
TCGA-18-3414-01Z-00-DX1,True,False,False
TCGA-18-3414-11A-01-TS1,True,False,False
TCGA-18-3416-11A-01-TS1,True,False,False
TCGA-18-3416-11A-01-BS1,True,False,False
TCGA-18-3416-01Z-00-DX1,True,False,False
TCGA-18-3417-11A-01-TS1,True,False,False
TCGA-18-3417-01Z-00-DX1,True,False,False
TCGA-34-2608-11A-01-TS1,True,False,False
TCGA-34-2608-01A-01-BS1,True,False,False
TCGA-34-2608-01A-02-BS2,True,False,False
TCGA-34-2608-11A-01-BS1,True,False,False
TCGA-38-4625-11A-01-BS1,True,False,False
TCGA-38-4625-01A-01-BS1,True,False,False
TCGA-38-4625-11A-01-TS1,True,False,False
TCGA-38-4632-11A-01-TS1,True,False,False
TCGA-38-4632-01A-01-TS1,True,False,False
TCGA-38-4632-11A-01-BS1,True,False,False
TCGA-38-4632-01A-01-BS1,True,False,False
TCGA-38-7271-11A-01-TS1,True,False,False
TCGA-43-2578-11A-01-BS1,True,False,False
TCGA-43-2578-11A-01-TS1,True,False,False
TCGA-43-2578-01A-01-BS1,True,False,False
TCGA-43-2578-01A-01-TS1,True,False,False
TCGA-43-2581-11A-01-BS1,True,False,False
TCGA-43-2581-01A-01-BS1,True,False,False
TCGA-43-2581-01A-01-TS1,True,False,False
TCGA-43-2581-11A-01-TS1,True,False,False
TCGA-43-5670-11A-01-TS1,True,False,False
TCGA-43-5670-01A-01-BS1,True,False,False
TCGA-43-7658-11A-01-TS1,True,False,False
